split,cell_id,group,comparator,stratum,U_stratum,C_stratum,low_bins,high_bins,overlap_mass,weight,excess_NLL,Q1_U,Q5_U,Q1_M,Q5_M,Q1_C,Q5_C
consumed,70#7,PC_ON,LN,22,5,2,14,77,14,0.0036900369003690036,-0.03329397971838369,1.118526478608449,4.72185547243465,1.118526478608449,4.72185547243465,0.2309868137041728,0.14980466257442113
consumed,70#7,PC_ON,LN,23,5,3,56,126,56,0.014760147601476014,-0.01724341203194524,1.278407031049331,4.247920334339142,1.278407031049331,4.247920334339142,0.4558552484959364,0.39803643359078306
consumed,70#7,PC_ON,LN,24,5,4,126,560,126,0.033210332103321034,0.00017189097598000077,1.5182279748497183,4.349364997322361,1.5182279748497183,4.349364997322361,1.1946215025942635,1.1292793237604202
consumed,70#7,PC_ON,LN,25,5,5,259,1715,259,0.06826568265682657,0.006782983055299041,2.5440754034631956,4.812241092010014,2.5440754034631956,4.812241092010014,2.8962528759315775,4.228834958533522
consumed,70#7,PC_ON,CNN,1,1,1,392,112,112,0.02952029520295203,-0.07030133862670254,0.10415033665568833,0.15047669082802412,-0.07307332655875055,-0.0818785216154841,0.05395750688053557,0.055759715406262934
consumed,70#7,PC_ON,CNN,2,1,2,483,154,154,0.04059040590405904,-0.07760798813468263,0.1177795200281358,0.14303152196313906,-0.07499332784321878,-0.1301379145747474,0.18223177737405677,0.1813334836712756
consumed,70#7,PC_ON,CNN,3,1,3,525,273,273,0.07195571955719557,-0.051959948854276995,0.1142629691803207,0.1269032290030239,-0.02855249338990284,-0.01703390338991442,0.4002153430568675,0.4115546675812867
consumed,70#7,PC_ON,CNN,4,1,4,455,280,280,0.07380073800738007,-0.046090868884220496,0.12551267161153448,0.12652192185923922,0.025794911661591282,-0.02463370108259065,0.817950835210295,0.9315783739778756
consumed,70#7,PC_ON,CNN,5,1,5,21,238,21,0.005535055350553505,-0.0031384020838865125,0.1612291152899464,0.12567788566572263,-0.1612291152899464,-0.009998207386838747,2.1833355111173463,4.843189996927428
consumed,70#7,PC_ON,CNN,6,2,1,455,119,119,0.03136531365313653,-0.07540030510228996,0.36385394734067794,0.37698164092851605,-0.3022911916176478,-0.27092855080377826,0.05507971603327836,0.06048039193539059
consumed,70#7,PC_ON,CNN,7,2,2,462,175,175,0.046125461254612546,-0.016608369363713228,0.36385875539571944,0.3782100445777178,-0.2640240821761615,-0.284060628687342,0.1605843674212769,0.1722615354756514
consumed,70#7,PC_ON,CNN,8,2,3,574,252,252,0.06642066420664207,-0.021252431055219286,0.3520292337033594,0.35813438297352856,-0.13934581510048752,-0.21643498800350006,0.38859531255931085,0.4142109724192845
consumed,70#7,PC_ON,CNN,9,2,4,322,280,280,0.07380073800738007,-0.06292036744599543,0.3591506313768796,0.35360850324602017,-0.0796796345806586,-0.02777527509509431,0.8675384315395511,0.9648614674117802
consumed,70#7,PC_ON,CNN,10,2,5,35,280,35,0.00922509225092251,-0.0442426881286535,0.3921418964862823,0.37598746909449493,-0.3921418964862823,-0.09268246286859115,2.052797387043635,4.575980695957939
consumed,70#7,PC_ON,CNN,11,3,1,266,147,147,0.03874538745387454,-0.04423238191148537,0.5730052070136655,0.5807532299132573,-0.4814177320191735,-0.5807532299132573,0.05136820562837417,0.03777357935905455
consumed,70#7,PC_ON,CNN,12,3,2,301,140,140,0.03690036900369004,-0.0350254681308952,0.5640879541982052,0.5700548596680163,-0.460297384523144,-0.5161715385814507,0.1694562589359838,0.17276400538782274
consumed,70#7,PC_ON,CNN,13,3,3,252,84,84,0.02214022140221402,-0.0566776563535165,0.5501271593901845,0.5648627391395469,-0.19413081004663746,-0.20283459680568838,0.39582540323371407,0.3560154068076776
consumed,70#7,PC_ON,CNN,14,3,4,294,224,224,0.05904059040590406,-0.054142585069214516,0.5643361013323541,0.5554642941181858,-0.23811141165002941,-0.14475790442277983,0.9589305760908042,1.014671100791626
consumed,70#7,PC_ON,CNN,15,3,5,14,189,14,0.0036900369003690036,-0.03650528973626761,0.5607564548651376,0.578043970984355,-0.5607564548651376,-0.24460051990226256,2.2864286502202344,4.918660474040712
consumed,70#7,PC_ON,CNN,16,4,1,1064,371,371,0.09778597785977859,-0.08876875121862153,0.7597562786387769,0.7671406167858051,-0.7306678057893327,-0.7671406167858051,0.035142576354637474,0.03382243675255925
consumed,70#7,PC_ON,CNN,17,4,2,392,84,84,0.02214022140221402,-0.0564790590807039,0.7254410430434205,0.7396105892128415,-0.6460111412618842,-0.7396105892128415,0.15990995048057463,0.17043302704890562
consumed,70#7,PC_ON,CNN,18,4,3,329,210,210,0.055350553505535055,-0.04640267050335141,0.7662780557541137,0.7566671364837223,-0.31842639070030637,-0.6248100181420644,0.4011875015752826,0.4102992352770848
consumed,70#7,PC_ON,CNN,19,4,4,504,329,329,0.08671586715867159,-0.04678796446769351,0.7793109470598951,0.8162543745381189,-0.06808888044691198,0.1463100104097356,1.0346993263778534,1.0716233671302675
consumed,70#7,PC_ON,CNN,20,4,5,35,420,35,0.00922509225092251,-0.08609410024847612,0.7786896546681721,0.7893462820599475,-0.4264733711878459,-0.13373127078844438,2.3917698780695598,4.941247601682941
consumed,70#7,PC_ON,CNN,21,5,1,0,77,0,0.0,,,4.049702528751257,,4.049702528751257,,0.03465206334085162
