split,cell_id,group,comparator,stratum,U_stratum,C_stratum,low_bins,high_bins,overlap_mass,weight,excess_NLL,Q1_U,Q5_U,Q1_M,Q5_M,Q1_C,Q5_C
development,68#10,MC_ON,LN,9,2,4,4,4,4,0.08888888888888889,-0.2421917040450428,0.2911325867541812,0.27022760437632143,-0.010530056770552285,0.11686399587514726,0.8553977083753457,0.7509018225934019
development,68#10,MC_ON,LN,10,2,5,0,4,0,0.0,,,0.21721587012606589,,0.03058653439141132,,3.5243352737108413
development,68#10,MC_ON,LN,11,3,1,2,0,0,0.0,,0.4973208944905888,,-0.4973208944905888,,0.03471808465705675,
development,68#10,MC_ON,LN,12,3,2,2,8,2,0.044444444444444446,-0.030638750772036025,0.3947029448199001,0.5087361725216561,-0.3947029448199001,-0.5087361725216561,0.12889541465450416,0.20360664346001367
development,68#10,MC_ON,LN,13,3,3,4,7,4,0.08888888888888889,-0.015057202617934053,0.5213665999472141,0.4345656117642081,-0.25748358158902684,-0.2976415947853745,0.4382690681880128,0.400883605147337
development,68#10,MC_ON,LN,14,3,4,11,2,2,0.044444444444444446,0.10465683748644196,0.4840608372175989,0.530349725857377,-0.2507681440223347,0.530349725857377,0.7288907962766561,0.6494748285040259
development,68#10,MC_ON,LN,15,3,5,0,1,0,0.0,,,0.5769452967426993,,-0.5769452967426993,,2.323764700781215
development,68#10,MC_ON,LN,16,4,1,0,3,0,0.0,,,0.6621023055278894,,-0.6621023055278894,,0.031686357476494585
development,68#10,MC_ON,LN,17,4,2,0,2,0,0.0,,,0.6601413095539266,,-0.6601413095539266,,0.20602042160250922
development,68#10,MC_ON,LN,18,4,3,0,0,0,0.0,,,,,,,
development,68#10,MC_ON,LN,19,4,4,4,2,2,0.044444444444444446,-0.12216064807684865,0.6697454367848961,0.6520171382210471,0.3408912240781567,-0.6520171382210471,0.7703238927589899,0.5682230430909179
development,68#10,MC_ON,LN,20,4,5,0,10,0,0.0,,,0.7097686524672264,,-0.4003943453204224,,2.732140713396736
development,68#10,MC_ON,LN,21,5,1,0,0,0,0.0,,,,,,,
development,68#10,MC_ON,LN,22,5,2,0,0,0,0.0,,,,,,,
development,68#10,MC_ON,LN,23,5,3,0,1,0,0.0,,,2.640091706405987,,2.640091706405987,,0.4797475934028621
development,68#10,MC_ON,LN,24,5,4,1,4,1,0.022222222222222223,0.23966239809651885,1.2192493975162506,2.404393268579786,1.2192493975162506,2.404393268579786,0.9394997541200031,0.801282183563506
development,68#10,MC_ON,LN,25,5,5,7,8,7,0.15555555555555556,0.013334570229072515,2.329300684201253,1.8368961272591895,2.329300684201253,1.8368961272591895,2.699885153973644,2.221638361912814
development,68#10,MC_ON,CNN,1,1,1,5,5,5,0.1111111111111111,-0.30164639632633394,0.04866369232450697,0.054663277375088505,-0.01512702255171131,0.012436653157188135,0.03856478171338412,0.06607164814221589
development,68#10,MC_ON,CNN,2,1,2,10,4,4,0.08888888888888889,-0.5576222001344591,0.08220129017294807,0.07439275513487784,-0.010475640786303711,-0.051000950900329786,0.21237003610215405,0.18807579329322005
development,68#10,MC_ON,CNN,3,1,3,9,5,5,0.1111111111111111,0.07779169763544845,0.08336443402757397,0.06772003371945837,-0.018997512348560668,-0.035630142265422785,0.3426096233576913,0.3419194286689162
development,68#10,MC_ON,CNN,4,1,4,5,3,3,0.06666666666666667,-0.3038833468652081,0.07244872660164467,0.023505935318429372,0.004303414380939846,0.023505935318429372,0.6146344966445626,1.0503424291611847
development,68#10,MC_ON,CNN,5,1,5,0,4,0,0.0,,,0.05922336131334305,,0.03199498448520899,,2.127031924753365
development,68#10,MC_ON,CNN,6,2,1,8,0,0,0.0,,0.2638301662148231,,-0.08345858529421755,,0.05187579100575849,
development,68#10,MC_ON,CNN,7,2,2,8,2,2,0.044444444444444446,0.29133468874757584,0.279534571592442,0.3092981366948648,-0.279534571592442,-0.3092981366948648,0.1945171180731532,0.14395996928215035
development,68#10,MC_ON,CNN,8,2,3,4,5,4,0.08888888888888889,-0.02554526079737518,0.23018608805300161,0.23280912718989635,-0.035989689175039516,-0.13582338961687954,0.4254433067346161,0.3397403325885534
development,68#10,MC_ON,CNN,9,2,4,4,4,4,0.08888888888888889,0.3051619827167176,0.2911325867541812,0.27022760437632143,-0.010530056770552285,0.11686399587514726,0.8553977083753457,0.7509018225934019
development,68#10,MC_ON,CNN,10,2,5,0,4,0,0.0,,,0.21721587012606589,,0.03058653439141132,,3.5243352737108413
development,68#10,MC_ON,CNN,11,3,1,2,0,0,0.0,,0.4973208944905888,,-0.4973208944905888,,0.03471808465705675,
development,68#10,MC_ON,CNN,12,3,2,2,8,2,0.044444444444444446,0.04352309632373773,0.3947029448199001,0.5087361725216561,-0.3947029448199001,-0.5087361725216561,0.12889541465450416,0.20360664346001367
development,68#10,MC_ON,CNN,13,3,3,4,7,4,0.08888888888888889,0.047467969282611544,0.5213665999472141,0.4345656117642081,-0.25748358158902684,-0.2976415947853745,0.4382690681880128,0.400883605147337
development,68#10,MC_ON,CNN,14,3,4,11,2,2,0.044444444444444446,0.040890205660518375,0.4840608372175989,0.530349725857377,-0.2507681440223347,0.530349725857377,0.7288907962766561,0.6494748285040259
development,68#10,MC_ON,CNN,15,3,5,0,1,0,0.0,,,0.5769452967426993,,-0.5769452967426993,,2.323764700781215
development,68#10,MC_ON,CNN,16,4,1,0,3,0,0.0,,,0.6621023055278894,,-0.6621023055278894,,0.031686357476494585
development,68#10,MC_ON,CNN,17,4,2,0,2,0,0.0,,,0.6601413095539266,,-0.6601413095539266,,0.20602042160250922
development,68#10,MC_ON,CNN,18,4,3,0,0,0,0.0,,,,,,,
development,68#10,MC_ON,CNN,19,4,4,4,2,2,0.044444444444444446,0.11007377297038602,0.6697454367848961,0.6520171382210471,0.3408912240781567,-0.6520171382210471,0.7703238927589899,0.5682230430909179
development,68#10,MC_ON,CNN,20,4,5,0,10,0,0.0,,,0.7097686524672264,,-0.4003943453204224,,2.732140713396736
development,68#10,MC_ON,CNN,21,5,1,0,0,0,0.0,,,,,,,
development,68#10,MC_ON,CNN,22,5,2,0,0,0,0.0,,,,,,,
development,68#10,MC_ON,CNN,23,5,3,0,1,0,0.0,,,2.640091706405987,,2.640091706405987,,0.4797475934028621
development,68#10,MC_ON,CNN,24,5,4,1,4,1,0.022222222222222223,-0.7835711192619548,1.2192493975162506,2.404393268579786,1.2192493975162506,2.404393268579786,0.9394997541200031,0.801282183563506
development,68#10,MC_ON,CNN,25,5,5,7,8,7,0.15555555555555556,-0.30788941698200445,2.329300684201253,1.8368961272591895,2.329300684201253,1.8368961272591895,2.699885153973644,2.221638361912814
development,68#11,PC_OFF,LN,1,1,1,7,42,7,0.0196078431372549,-0.1692297822600536,0.08056640011879303,0.09479974872536127,-0.08056640011879303,0.06800782680511473,0.00587299225541453,0.04438795128630267
development,68#11,PC_OFF,LN,2,1,2,28,35,28,0.0784313725490196,-0.37305094685885387,0.09463697702934346,0.09392043661015728,0.05729027309765418,-0.02075193584896624,0.15068805898772553,0.14964466655316452
development,68#11,PC_OFF,LN,3,1,3,14,77,14,0.0392156862745098,-0.0024756196988598017,0.07751255040057003,0.10270831590010361,0.052822096195692794,-0.006848172905544442,0.4620991627840945,0.3867036387832327
development,68#11,PC_OFF,LN,4,1,4,42,28,28,0.0784313725490196,0.10455080670225464,0.13656054648648325,0.0661823699871699,0.08212612035761897,0.0661823699871699,0.8455991915155511,1.2399188814063866
development,68#11,PC_OFF,LN,5,1,5,7,28,7,0.0196078431372549,-0.04619337756418851,0.19398236274719238,0.11350009171292186,-0.19398236274719238,-0.05229937983676792,2.3881078561147047,10.401734749010455
development,68#11,PC_OFF,LN,6,2,1,56,7,7,0.0196078431372549,0.039575208688539254,0.37792598704497016,0.43629941344261164,-0.3244703896343708,-0.43629941344261164,0.0597868456194798,0.07059722145398456
development,68#11,PC_OFF,LN,7,2,2,28,42,28,0.0784313725490196,0.0640520194292152,0.3973637906213602,0.35781793689562214,-0.25089411561687786,-0.1521717498285903,0.19290638633538038,0.16980344160563415
development,68#11,PC_OFF,LN,8,2,3,63,35,35,0.09803921568627451,-0.020812531925626168,0.33472796115610337,0.338089740027984,-0.33472796115610337,-0.06830764388044677,0.3110420374130762,0.3807863434155782
