cell_id,feature,probability,threshold
70#15,C,0.6,0.7468628684058773
70#15,C,0.8,1.9916561305522926
70#15,U,0.2,0.1947394814342261
70#15,U,0.4,0.45412975847721104
70#15,U,0.6,0.6514950700104236
70#15,U,0.8,1.0833398423157634
70#34,A,0.2,0.5953288420928566
70#34,A,0.4,1.5363573169971838
70#34,A,0.6,1.977112965137631
70#34,A,0.8,2.0778047314303465
70#34,C,0.2,0.0985434900630604
70#34,C,0.4,0.23550060865553957
70#34,C,0.6,0.5197497352957726
70#34,C,0.8,1.3552565024657826
70#34,U,0.2,0.2178588264960459
70#34,U,0.4,0.4654241702773367
70#34,U,0.6,0.626918175003745
70#34,U,0.8,0.8987934733656349
