cell_id,group,mode,channel,profile,region,current_overshoot_above_plateaus,previous_overshoot_above_plateaus,delta_overshoot_above_plateaus,current_undershoot_below_plateaus,previous_undershoot_below_plateaus,delta_undershoot_below_plateaus,current_max_minus_upper_plateau,previous_max_minus_upper_plateau,delta_max_minus_upper_plateau,current_min_minus_lower_plateau,previous_min_minus_lower_plateau,delta_min_minus_lower_plateau,current_max_x_pixels,previous_max_x_pixels,delta_max_x_pixels,current_min_x_pixels,previous_min_x_pixels,delta_min_x_pixels
67#6,MC_OFF,H1_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.03011968731880188,-0.03165963292121887,0.0015399456024169922,0.0,0.0,0.0,2,2,0.0,4,4,0.0
67#6,MC_OFF,AC_off,logit,ramp,dark_boundary,0.0021954774856567383,0.0032741427421569824,-0.0010786652565002441,0.0,0.0,0.0,0.0021954774856567383,0.0032741427421569824,-0.0010786652565002441,0.33925318717956543,0.3987540006637573,-0.059500813484191895,-5,-5,0.0,-2,-2,0.0
67#6,MC_OFF,AC_off,logit,ramp,bright_boundary,0.0,0.0,0.0,-0.0021952390670776367,-0.003274083137512207,0.0010788440704345703,-0.33925312757492065,-0.39875370264053345,0.05950057506561279,-0.0021952390670776367,-0.003274083137512207,0.0010788440704345703,2,2,0.0,5,5,0.0
67#6,MC_OFF,AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33828604221343994,0.3973097801208496,-0.05902373790740967,-6,-6,0.0,-2,-2,0.0
67#6,MC_OFF,AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.3382858633995056,-0.39730972051620483,0.05902385711669922,0.0,0.0,0.0,2,2,0.0,4,4,0.0
67#6,MC_OFF,AC_off,probability,ramp,dark_boundary,0.000453263521194458,0.0006976425647735596,-0.00024437904357910156,0.0,0.0,0.0,0.000453263521194458,0.0006976425647735596,-0.00024437904357910156,0.057281702756881714,0.06747269630432129,-0.010190993547439575,-5,-5,0.0,-2,-2,0.0
67#6,MC_OFF,AC_off,probability,ramp,bright_boundary,0.0,0.0,0.0,-0.00031732022762298584,-0.00045949220657348633,0.0001421719789505005,-0.0621083527803421,-0.07408788800239563,0.011979535222053528,-0.00031732022762298584,-0.00045949220657348633,0.0001421719789505005,2,2,0.0,5,5,0.0
67#6,MC_OFF,AC_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05709630250930786,0.0671895444393158,-0.010093241930007935,-6,-6,0.0,-2,-2,0.0
67#6,MC_OFF,AC_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.06195336580276489,-0.07385842502117157,0.011905059218406677,0.0,0.0,0.0,2,2,0.0,4,4,0.0
67#7,MC_ON,normal,logit,ramp,dark_boundary,0.0,0.0,0.0,-0.006074309349060059,-0.007447242736816406,0.0013729333877563477,-0.10391199588775635,-0.10053706169128418,-0.003374934196472168,-0.006074309349060059,-0.007447242736816406,0.0013729333877563477,-2,-2,0.0,-5,-5,0.0
67#7,MC_ON,normal,logit,ramp,bright_boundary,0.006074309349060059,0.007447481155395508,-0.0013731718063354492,0.0,0.0,0.0,0.006074309349060059,0.007447481155395508,-0.0013731718063354492,0.10391199588775635,0.10053706169128418,0.003374934196472168,5,5,0.0,2,2,0.0
67#7,MC_ON,normal,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.10373413562774658,-0.10007894039154053,-0.0036551952362060547,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#7,MC_ON,normal,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10373413562774658,0.10007894039154053,0.0036551952362060547,4,4,0.0,2,2,0.0
67#7,MC_ON,normal,probability,ramp,dark_boundary,0.0,0.0,0.0,-0.0009428262710571289,-0.001125618815422058,0.0001827925443649292,-0.016966477036476135,-0.016059964895248413,-0.0009065121412277222,-0.0009428262710571289,-0.001125618815422058,0.0001827925443649292,-2,-2,0.0,-5,-5,0.0
67#7,MC_ON,normal,probability,ramp,bright_boundary,0.000990167260169983,0.0011923611164093018,-0.00020219385623931885,0.0,0.0,0.0,0.000990167260169983,0.0011923611164093018,-0.00020219385623931885,0.01610223948955536,0.015232384204864502,0.0008698552846908569,5,5,0.0,2,2,0.0
67#7,MC_ON,normal,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.016938835382461548,-0.015990272164344788,-0.0009485632181167603,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#7,MC_ON,normal,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01607327163219452,0.015159472823143005,0.0009137988090515137,4,4,0.0,2,2,0.0
67#7,MC_ON,H1_off,logit,ramp,dark_boundary,0.0,0.0,0.0,-0.005610227584838867,-0.006227850914001465,0.0006176233291625977,-0.11133909225463867,-0.12046337127685547,0.009124279022216797,-0.005610227584838867,-0.006227850914001465,0.0006176233291625977,-2,-2,0.0,-5,-5,0.0
67#7,MC_ON,H1_off,logit,ramp,bright_boundary,0.005609989166259766,0.006227970123291016,-0.00061798095703125,0.0,0.0,0.0,0.005609989166259766,0.006227970123291016,-0.00061798095703125,0.11133909225463867,0.12046349048614502,-0.009124398231506348,5,5,0.0,2,2,0.0
