group,mode,channel,profile,region,n_cells,current_overshoot_above_plateaus,previous_overshoot_above_plateaus,delta_overshoot_above_plateaus,current_undershoot_below_plateaus,previous_undershoot_below_plateaus,delta_undershoot_below_plateaus,current_max_minus_upper_plateau,previous_max_minus_upper_plateau,delta_max_minus_upper_plateau,current_min_minus_lower_plateau,previous_min_minus_lower_plateau,delta_min_minus_lower_plateau,current_max_x_pixels,previous_max_x_pixels,delta_max_x_pixels,current_min_x_pixels,previous_min_x_pixels,delta_min_x_pixels
MC_ON,normal,logit,ramp,dark_boundary,5,0.0,0.0,0.0,-0.005751228332519532,-0.0075217485427856445,0.0017705202102661134,-0.09597671031951904,-0.1015653133392334,0.005588603019714355,-0.005751228332519532,-0.0075217485427856445,0.0017705202102661134,-2.0,-2.0,0.0,-5.0,-5.0,0.0
MC_ON,normal,logit,ramp,bright_boundary,5,0.005751299858093262,0.0075218439102172855,-0.0017705440521240234,0.0,0.0,0.0,0.005751299858093262,0.0075218439102172855,-0.0017705440521240234,0.09597668647766114,0.10156526565551757,-0.0055885791778564455,5.0,5.0,0.0,2.0,2.0,0.0
MC_ON,normal,logit,matched_uniform,dark_boundary,5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0958787441253662,-0.10119879245758057,0.005320048332214356,0.0,0.0,0.0,-2.0,-2.0,0.0,-6.0,-6.0,0.0
MC_ON,normal,logit,matched_uniform,bright_boundary,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0958787202835083,0.1011988639831543,-0.005320143699645996,4.0,4.0,0.0,2.0,2.0,0.0
MC_ON,normal,probability,ramp,dark_boundary,5,0.0,0.0,0.0,-0.0009002178907394409,-0.0011309981346130371,0.00023078024387359619,-0.015561392903327942,-0.015892696380615235,0.0003313034772872925,-0.0009002178907394409,-0.0011309981346130371,0.00023078024387359619,-2.0,-2.0,0.0,-5.0,-5.0,0.0
MC_ON,normal,probability,ramp,bright_boundary,5,0.0009490042924880981,0.0012130916118621826,-0.00026408731937408445,0.0,0.0,0.0,0.0009490042924880981,0.0012130916118621826,-0.00026408731937408445,0.014885011315345763,0.015156692266464234,-0.00027168095111846925,5.0,5.0,0.0,2.0,2.0,0.0
MC_ON,normal,probability,matched_uniform,dark_boundary,5,0.0,0.0,0.0,0.0,0.0,0.0,-0.015545812249183655,-0.015838149189949035,0.0002923369407653809,0.0,0.0,0.0,-2.0,-2.0,0.0,-6.0,-6.0,0.0
MC_ON,normal,probability,matched_uniform,bright_boundary,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014868730306625366,0.015099415183067321,-0.00023068487644195557,4.0,4.0,0.0,2.0,2.0,0.0
MC_ON,H1_off,logit,ramp,dark_boundary,5,0.0,0.0,0.0,-0.005490016937255859,-0.006519722938537598,0.0010297060012817382,-0.10026023387908936,-0.11842856407165528,0.018168330192565918,-0.005490016937255859,-0.006519722938537598,0.0010297060012817382,-2.0,-2.0,0.0,-5.0,-5.0,0.0
MC_ON,H1_off,logit,ramp,bright_boundary,5,0.005489921569824219,0.006519794464111328,-0.0010298728942871095,0.0,0.0,0.0,0.005489921569824219,0.006519794464111328,-0.0010298728942871095,0.10026023387908936,0.11842865943908691,-0.018168425559997557,5.0,5.0,0.0,2.0,2.0,0.0
MC_ON,H1_off,logit,matched_uniform,dark_boundary,5,0.0,0.0,0.0,0.0,0.0,0.0,-0.10026023387908936,-0.11842856407165528,0.018168330192565918,0.0,0.0,0.0,-2.0,-2.0,0.0,-6.0,-6.0,0.0
MC_ON,H1_off,logit,matched_uniform,bright_boundary,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10026023387908936,0.11842865943908691,-0.018168425559997557,4.0,4.0,0.0,2.0,2.0,0.0
MC_ON,H1_off,probability,ramp,dark_boundary,5,0.0,0.0,0.0,-0.0008569419384002686,-0.0009734183549880981,0.0001164764165878296,-0.016273555159568787,-0.0185476154088974,0.0022740602493286134,-0.0008569419384002686,-0.0009734183549880981,0.0001164764165878296,-2.0,-2.0,0.0,-5.0,-5.0,0.0
