cell_id,group,mode,channel,family,name,kind,current_mean_on,previous_mean_on,delta_mean_on,current_peak_signed,previous_peak_signed,delta_peak_signed,current_peak_absolute,previous_peak_absolute,delta_peak_absolute,current_peak_latency_from_onset_ms,previous_peak_latency_from_onset_ms,delta_peak_latency_from_onset_ms,current_integral_response_seconds,previous_integral_response_seconds,delta_integral_response_seconds,current_onset_50ms_mean,previous_onset_50ms_mean,delta_onset_50ms_mean,current_offset_50ms_mean,previous_offset_50ms_mean,delta_offset_50ms_mean
67#34,PC_ON,AC_off,logit,Mach,Mach_x-01,clamp_minus_normal,-0.025562508031725883,-0.03996925428509712,0.014406746253371239,-0.07517313957214355,-0.09747147560119629,0.022298336029052734,0.07517313957214355,0.09747147560119629,-0.022298336029052734,126.66665649414062,113.33331298828125,13.333343505859375,-0.007941373189290364,-0.010141714413960775,0.0022003412246704105,-0.002918735146522522,-0.011403799057006836,0.008485063910484314,-0.07121945917606354,-0.08689174056053162,0.01567228138446808
67#34,PC_ON,AC_off,logit,Mach,Mach_x+00,response_minus_blank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#34,PC_ON,AC_off,logit,Mach,Mach_x+00,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#34,PC_ON,AC_off,logit,Mach,Mach_x+01,response_minus_blank,0.05045764520764351,0.06500256061553955,-0.014544915407896042,0.08849954605102539,0.10970067977905273,-0.021201133728027344,0.08849954605102539,0.10970067977905273,-0.021201133728027344,113.33331298828125,106.66665649414062,6.666656494140625,0.008810424009958904,0.01086908260981242,-0.0020586585998535155,0.02500253915786743,0.03340035676956177,-0.008397817611694336,0.06337995827198029,0.07591772079467773,-0.012537762522697449
67#34,PC_ON,AC_off,logit,Mach,Mach_x+01,clamp_minus_normal,0.025562508031725883,0.03996925428509712,-0.014406746253371239,0.07517313957214355,0.09747135639190674,-0.022298216819763184,0.07517313957214355,0.09747135639190674,-0.022298216819763184,126.66665649414062,113.33331298828125,13.333343505859375,0.007941373189290364,0.010141714413960775,-0.0022003412246704105,0.002918735146522522,0.011403799057006836,-0.008485063910484314,0.07121945917606354,0.08689174056053162,-0.01567228138446808
67#34,PC_ON,AC_off,logit,Mach,Mach_x+02,response_minus_blank,0.10089733451604843,0.13013824820518494,-0.029240913689136505,0.17694520950317383,0.21979844570159912,-0.04285323619842529,0.17694520950317383,0.21979844570159912,-0.04285323619842529,113.33331298828125,106.66665649414062,6.666656494140625,0.017619899113972985,0.021787967681884766,-0.004168068567911781,0.04999855160713196,0.06680265069007874,-0.016804099082946777,0.1267465054988861,0.15230296552181244,-0.02555646002292633
67#34,PC_ON,AC_off,logit,Mach,Mach_x+02,clamp_minus_normal,0.05110139772295952,0.07997720688581467,-0.02887580916285515,0.15031087398529053,0.19522082805633545,-0.04490995407104492,0.15031087398529053,0.19522082805633545,-0.04490995407104492,126.66665649414062,113.33331298828125,13.333343505859375,0.01588124910990397,0.020328742663065592,-0.004447493553161621,0.0058354586362838745,0.02280247211456299,-0.016967013478279114,0.14240336418151855,0.17414280772209167,-0.03173944354057312
67#34,PC_ON,AC_off,logit,Mach,Mach_x+03,response_minus_blank,0.1513424515724182,0.1956040859222412,-0.044261634349823,0.2654116153717041,0.3308703899383545,-0.06545877456665039,0.2654116153717041,0.3308703899383545,-0.06545877456665039,113.33331298828125,106.66665649414062,6.666656494140625,0.02643655300140381,0.03281912485758464,-0.006382571856180831,0.07499009370803833,0.10022377967834473,-0.025233685970306396,0.19017420709133148,0.22974123060703278,-0.039567023515701294
67#34,PC_ON,AC_off,logit,Mach,Mach_x+03,clamp_minus_normal,0.07503815740346909,0.1183585375547409,-0.04332038015127182,0.22066962718963623,0.2892434597015381,-0.06857383251190186,0.22066962718963623,0.2892434597015381,-0.06857383251190186,126.66665649414062,113.33331298828125,13.333343505859375,0.02331087112426758,0.030146980285644533,-0.006836109161376953,0.008570954203605652,0.033712804317474365,-0.025141850113868713,0.20906320214271545,0.25820431113243103,-0.049141108989715576
67#34,PC_ON,AC_off,logit,Mach,Mach_x+04,response_minus_blank,0.1927056908607483,0.24861131608486176,-0.055905625224113464,0.33787059783935547,0.42089641094207764,-0.08302581310272217,0.33787059783935547,0.42089641094207764,-0.08302581310272217,113.33331298828125,106.66665649414062,6.666656494140625,0.03366099993387858,0.0417659600575765,-0.008104960123697914,0.09549792110919952,0.12725596129894257,-0.03175804018974304,0.24211186170578003,0.29260724782943726,-0.05049538612365723
