group,mode,channel,family,name,kind,current_mean_on,previous_mean_on,delta_mean_on,current_peak_signed,previous_peak_signed,delta_peak_signed,current_peak_absolute,previous_peak_absolute,delta_peak_absolute,current_peak_latency_from_onset_ms,previous_peak_latency_from_onset_ms,delta_peak_latency_from_onset_ms,current_integral_response_seconds,previous_integral_response_seconds,delta_integral_response_seconds,current_onset_50ms_mean,previous_onset_50ms_mean,delta_onset_50ms_mean,current_offset_50ms_mean,previous_offset_50ms_mean,delta_offset_50ms_mean
MC_OFF,AC_off,logit,Mach,Mach_x+05,response_minus_blank,-0.253908921033144,-0.2738437131047249,0.019934792071580887,-0.39272864162921906,-0.41325199604034424,0.020523354411125183,0.39272864162921906,0.41325199604034424,-0.020523354411125183,104.99999237060547,78.33332061767578,26.666671752929688,-0.03892822901407878,-0.040370392799377444,0.0014421637852986627,-0.1474963314831257,-0.1650029867887497,0.017506655305624008,-0.24416525289416313,-0.24173743277788162,-0.0024278201162815094
MC_OFF,AC_off,logit,Mach,Mach_x+05,clamp_minus_normal,-0.12499988451600075,-0.14926034212112427,0.02426045760512352,-0.30512383580207825,-0.32703250646591187,0.021908670663833618,0.30512383580207825,0.32703250646591187,-0.021908670663833618,126.66665649414062,118.33332824707031,8.333328247070312,-0.030635705788930257,-0.03262896696726481,0.001993261178334555,-0.021208755671977997,-0.04097123071551323,0.019762475043535233,-0.2822136767208576,-0.28556227684020996,0.0033486001193523407
MC_OFF,AC_off,logit,Mach,Mach_x+06,response_minus_blank,-0.2530773840844631,-0.2719423584640026,0.01886497437953949,-0.3904224783182144,-0.409650593996048,0.019228115677833557,0.3904224783182144,0.409650593996048,-0.019228115677833557,104.99999237060547,78.33332061767578,26.666671752929688,-0.038679413000742596,-0.03983592351277669,0.0011565105120340952,-0.14740516617894173,-0.16480082273483276,0.017395656555891037,-0.24185623228549957,-0.2367185689508915,-0.005137663334608078
MC_OFF,AC_off,logit,Mach,Mach_x+06,clamp_minus_normal,-0.12856796570122242,-0.15285665914416313,0.024288693442940712,-0.3130977898836136,-0.3334418386220932,0.020344048738479614,0.3130977898836136,0.3334418386220932,-0.020344048738479614,126.66665649414062,118.33332824707031,8.333328247070312,-0.031425565878550214,-0.03323505163192749,0.0018094857533772768,-0.021849248558282852,-0.04208935797214508,0.02024010941386223,-0.2895406186580658,-0.2908206805586815,0.0012800619006156921
MC_OFF,AC_off,logit,Mach,Mach_x+07,response_minus_blank,-0.2526586428284645,-0.2709837891161442,0.018325146287679672,-0.3892611414194107,-0.40783506631851196,0.018573924899101257,0.3892611414194107,0.40783506631851196,-0.018573924899101257,104.99999237060547,78.33332061767578,26.666671752929688,-0.03855410973230998,-0.03956648429234823,0.0010123745600382483,-0.14735925942659378,-0.16469890996813774,0.01733965054154396,-0.24069340154528618,-0.23418837040662766,-0.0065050311386585236
MC_OFF,AC_off,logit,Mach,Mach_x+07,clamp_minus_normal,-0.12839031219482422,-0.1524016670882702,0.02401135489344597,-0.31198926270008087,-0.3311478793621063,0.01915861666202545,0.31198926270008087,0.3311478793621063,-0.01915861666202545,126.66665649414062,118.33332824707031,8.333328247070312,-0.03130485852559408,-0.03297832568486532,0.00167346715927124,-0.021848969161510468,-0.0420805998146534,0.02023163065314293,-0.288476649671793,-0.28852881491184235,5.216524004936218e-05
MC_OFF,AC_off,logit,Mach,Mach_x+08,response_minus_blank,-0.2524881288409233,-0.2705928198993206,0.018104691058397293,-0.38878820836544037,-0.40709465742111206,0.018306449055671692,0.38878820836544037,0.40709465742111206,-0.018306449055671692,104.99999237060547,78.33332061767578,26.666671752929688,-0.038503074645996095,-0.039456596374511724,0.0009535217285156286,-0.147340577095747,-0.1646573543548584,0.017316777259111404,-0.24021980911493301,-0.23315642029047012,-0.007063388824462891
MC_OFF,AC_off,logit,Mach,Mach_x+08,clamp_minus_normal,-0.1283087395131588,-0.15219470858573914,0.023885969072580338,-0.311480388045311,-0.33010412752628326,0.01862373948097229,0.311480388045311,0.33010412752628326,-0.01862373948097229,126.66665649414062,118.33332824707031,8.333328247070312,-0.03124944766362508,-0.032861542701721196,0.001612095038096114,-0.021848853677511215,-0.042076628655195236,0.02022777497768402,-0.28798822686076164,-0.2874862775206566,-0.0005019493401050568
MC_OFF,AC_off,logit,Mach,Mach_x+09,response_minus_blank,-0.2524351105093956,-0.2704709805548191,0.018035870045423508,-0.3886411637067795,-0.4068639576435089,0.01822279393672943,0.3886411637067795,0.4068639576435089,-0.01822279393672943,104.99999237060547,78.33332061767578,26.666671752929688,-0.0384872047106425,-0.03942234754562378,0.0009351428349812785,-0.1473347619175911,-0.16464439034461975,0.017309628427028656,-0.2400725595653057,-0.2328348122537136,-0.007237747311592102
MC_OFF,AC_off,logit,Mach,Mach_x+09,clamp_minus_normal,-0.12827835604548454,-0.1521185040473938,0.023840148001909256,-0.3112908899784088,-0.32971976697444916,0.018428876996040344,0.3112908899784088,0.32971976697444916,-0.018428876996040344,126.66665649414062,118.33332824707031,8.333328247070312,-0.031228814919789634,-0.03281854867935181,0.001589733759562173,-0.02184879779815674,-0.04207516089081764,0.020226363092660904,-0.28780634701251984,-0.28710245341062546,-0.0007038936018943787
