combination_id,69#4,67#6,68#4,67#4,Mach dark_normal,Mach dark_AC_off,Mach dark_reversed,Mach bright_normal,Mach bright_AC_off,Mach bright_reversed,SBC_normal,SBC_AC_off,SBC_reversed,Hermann_normal,Hermann_AC_off,Hermann_reversed,White_normal,White_AC_off,White_reversed
C24,primary,fresh_2,fresh_1,fresh_2,-0.0036890416434316926,0.0027748749111637925,True,0.0036890434496330495,-0.0027748712987610787,True,-0.03979388963092457,0.0030463457107543944,True,-0.020353544842113148,0.0010496545921672472,True,0.019891346765286994,-0.0015370834957469592,True
C25,primary,fresh_2,fresh_2,primary,-0.0036212178793820467,0.0027857383092244467,True,0.0036212207693042176,-0.002785734877441869,True,-0.03951666337071043,0.003081980257323294,True,-0.020215432932882596,0.0010620545257221568,True,0.019751861781784983,-0.0015552246209346887,True
C26,primary,fresh_2,fresh_2,fresh_1,-0.003621851314197887,0.002762308445843783,True,0.0036218538428797868,-0.002762304472200798,True,-0.039310900009039675,0.003079724311828613,True,-0.02011276628031875,0.001061261242086237,True,0.019648971882733433,-0.0015540690133065888,True
C27,primary,fresh_2,fresh_2,fresh_2,-0.003699036439259847,0.0027921342488491175,True,0.0036990386067014755,-0.0027921306364464037,True,-0.04008201848376881,0.0030535286123102366,True,-0.020495447967991683,0.001052164128332427,True,0.020035130508018265,-0.0015407435821764397,True
C28,fresh_1,primary,primary,primary,-0.0036388928239995785,0.0026583118872209027,True,0.003638895894541885,-0.0026583089972987317,True,-0.03810913255720428,0.0030760891509778576,True,-0.01951471567153931,0.001059770222866174,True,0.01904765927430355,-0.001552177198005445,True
C29,fresh_1,primary,primary,fresh_1,-0.003639526258815419,0.0026348820238402395,True,0.003639528968117454,-0.002634878592057662,True,-0.037903369195533526,0.0030738332054831767,True,-0.01941204901897546,0.0010589769392302542,True,0.018944769375252,-0.0015510215903773452,True
C30,fresh_1,primary,primary,fresh_2,-0.003716711383877379,0.002664707826845574,True,0.003716713731939142,-0.002664704756303267,True,-0.03867448767026266,0.0030476375059647993,True,-0.019794730706648393,0.001049879825476444,True,0.01933092800053683,-0.001537696159247196,True
C31,fresh_1,primary,fresh_1,primary,-0.0035838846004370493,0.0026608626047770183,True,0.003583887670979356,-0.0026608597148548474,True,-0.03813584844271342,0.0030751499262723055,True,-0.019527161482608676,0.001059447635303844,True,0.01906111113952868,-0.0015517054182110411,True
C32,fresh_1,primary,fresh_1,fresh_1,-0.003584518035252889,0.0026374327413963548,True,0.003584520744554924,-0.002637429309613777,True,-0.03793008508104267,0.0030728939807776246,True,-0.019424494830044832,0.0010586543516679244,True,0.01895822124047713,-0.0015505498105829413,True
C33,fresh_1,primary,fresh_1,fresh_2,-0.0036617031603148487,0.002667258544401689,True,0.003661705508376613,-0.002667255473859382,True,-0.0387012035557718,0.003046698281259248,True,-0.019807176517717764,0.0010495572379141142,True,0.01934437986576196,-0.0015372243794527921,True
C34,fresh_1,primary,fresh_2,primary,-0.0035938793962652037,0.0026781219424623433,True,0.0035938828280477815,-0.0026781190525401724,True,-0.03842397729555766,0.003082332827828147,True,-0.019669064608487215,0.0010619571714690238,True,0.019204894882259946,-0.0015553655046405214,True
C35,fresh_1,primary,fresh_2,fresh_1,-0.0035945128310810436,0.0026546920790816797,True,0.00359451590162335,-0.002654688647299102,True,-0.038218213933886906,0.003080076882333467,True,-0.019566397955923368,0.001061163887833104,True,0.019102004983208395,-0.0015542098970124216,True
C36,fresh_1,primary,fresh_2,fresh_2,-0.0036716979561430036,0.0026845178820870137,True,0.003671700665445039,-0.002684514811544707,True,-0.03898933240861604,0.0030538811828150895,True,-0.0199490796435963,0.0010520667740792939,True,0.019488163608493227,-0.0015408844658822724,True
C37,fresh_1,fresh_1,primary,primary,-0.0035994643514806576,0.0025551487099040636,True,0.0035994672414028286,-0.0025551460006020287,True,-0.037471236424012615,0.002570919195810954,True,-0.019144880771636962,0.0008875803513960404,True,0.018733876582347986,-0.0013001803195837771,True
C38,fresh_1,fresh_1,primary,fresh_1,-0.003600097786296498,0.0025317188465234005,True,0.0036001003149783977,-0.0025317155953609584,True,-0.03726547306234186,0.002568663250316273,True,-0.019042214119073118,0.0008867870677601207,True,0.018630986683296435,-0.0012990247119556773,True
C39,fresh_1,fresh_1,primary,fresh_2,-0.003677282911358458,0.002561544649528735,True,0.0036772850788000856,-0.002561541759606564,True,-0.038036591537071,0.002542467550797896,True,-0.01942489580674605,0.0008776899540063107,True,0.019017145308581264,-0.0012856992808255282,True
C40,fresh_1,fresh_1,fresh_1,primary,-0.0035444561279181284,0.002557699427460179,True,0.003544459017840299,-0.002557696718158144,True,-0.03749795230952176,0.0025699799711054023,True,-0.019157326582706333,0.0008872577638337105,True,0.01874732844757311,-0.0012997085397893733,True
C41,fresh_1,fresh_1,fresh_1,fresh_1,-0.003545089562733968,0.0025342695640795158,True,0.0035450920914158676,-0.0025342663129170736,True,-0.03729218894785101,0.0025677240256107214,True,-0.01905465993014249,0.0008864644801977908,True,0.01864443854852156,-0.0012985529321612732,True
C42,fresh_1,fresh_1,fresh_1,fresh_2,-0.003622274687795928,0.00256409536708485,True,0.0036222768552375563,-0.002564092477162679,True,-0.03806330742258014,0.0025415283260923445,True,-0.01943734161781542,0.0008773673664439807,True,0.019030597173806393,-0.0012852275010311243,True
C43,fresh_1,fresh_1,fresh_2,primary,-0.003554450923746283,0.0025749587651455043,True,0.003554454174908725,-0.002574956055843469,True,-0.037786081162366,0.0025771628726612436,True,-0.019299229708584872,0.0008897672999988903,True,0.01889111219030438,-0.0013033686262188535,True
C44,fresh_1,fresh_1,fresh_2,fresh_1,-0.0035550843585621227,0.0025515289017648407,True,0.0035550872484842936,-0.0025515256506023986,True,-0.03758031780069525,0.002574906927166563,True,-0.019196563056021024,0.0008889740163629704,True,0.01878822229125283,-0.0013022130185907537,True
C45,fresh_1,fresh_1,fresh_2,fresh_2,-0.0036322694836240827,0.0025813547047701746,True,0.003632272012305982,-0.002581351814848004,True,-0.03835143627542438,0.002548711227648186,True,-0.01957924474369396,0.0008798769026091603,True,0.01917438091653766,-0.0012888875874606045,True
C46,fresh_1,fresh_2,primary,primary,-0.0035892918254389907,0.00274630170879942,True,0.0035892947153611616,-0.002746298818877249,True,-0.03840763117327835,0.003095905347303911,True,-0.019662928581237794,0.001066727710492683,True,0.01919643824750727,-0.0015620932434544418,True
C47,fresh_1,fresh_2,primary,fresh_1,-0.003589925260254831,0.0027228718454187567,True,0.0035899277889367308,-0.002722868413636179,True,-0.038201867811607594,0.00309364940180923,True,-0.019560261928673946,0.0010659344268567634,True,0.019093548348455718,-0.001560937635826342,True
C48,fresh_1,fresh_2,primary,fresh_2,-0.003667110385316791,0.0027526976484240906,True,0.0036671125527584195,-0.002752694577881784,True,-0.038972986286336726,0.0030674537022908526,True,-0.019942943616346877,0.0010568373131029532,True,0.01947970697374055,-0.0015476122046961928,True
