cell_id,group,fit,seed,signature,pair_name,control,pair_a,pair_b,normal_paired_logit,AC_off_paired_logit,normal_A,normal_B,AC_off_A,AC_off_B,normal_sign,AC_off_sign,AC_off_reverses_normal,normal_mean_on,normal_peak_signed,normal_peak_absolute,normal_peak_latency_from_onset_ms,normal_integral_response_seconds,normal_onset_50ms_mean,normal_offset_50ms_mean,AC_off_mean_on,AC_off_peak_signed,AC_off_peak_absolute,AC_off_peak_latency_from_onset_ms,AC_off_integral_response_seconds,AC_off_onset_50ms_mean,AC_off_offset_50ms_mean
68#4,PC ON,fresh_2,20460837,White,on_bright_bar_minus_on_dark_bar,False,58,59,0.07815561443567276,0.0010088443523272872,-1.5218042135238647,-1.5999600887298584,-1.5603777170181274,-1.5613865852355957,1,1,False,0.07815561443567276,0.12043261528015137,0.12043261528015137,100.0,0.012525793711344402,0.04833984375,0.07489815354347229,0.0010088443523272872,0.003396749496459961,0.003396749496459961,126.66665649414062,0.0005072418848673504,0.00033730268478393555,0.0032320916652679443
68#4,PC ON,fresh_2,20460837,control_on_bright_bar_minus_on_dark_bar,control_on_bright_bar_minus_on_dark_bar,True,60,61,0.0,0.0,-1.560882329940796,-1.560882329940796,-1.560882329940796,-1.560882329940796,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,fresh_2,20460837,remote_contour_rearrangement_control_A_minus_B,remote_contour_rearrangement_control_A_minus_B,True,65,66,0.0,0.0,-1.560882329940796,-1.560882329940796,-1.560882329940796,-1.560882329940796,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,fresh_2,20460837,contour_rearrangement_control_A_minus_B,contour_rearrangement_control_A_minus_B,True,69,70,0.0,0.0,-1.6062065362930298,-1.6062065362930298,-1.3951724767684937,-1.3951724767684937,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,primary,20260828,Mach dark,ramp_minus_matched_uniform_x-04,False,8,33,-0.0032687862403690815,-0.012213850393891335,-0.8117193579673767,-0.8084505796432495,-0.7240558862686157,-0.711841881275177,-1,-1,False,-0.0032687862403690815,0.00905376672744751,0.00905376672744751,140.0,0.0002589702606201172,-0.0036291107535362244,0.004888959228992462,-0.012213850393891335,-0.021363914012908936,0.021363914012908936,106.66665649414062,-0.002123416264851888,-0.006141074001789093,-0.015214763581752777
67#4,PC OFF,primary,20260828,Mach bright,ramp_minus_matched_uniform_x+04,False,16,41,0.00326880207285285,0.012213842011988163,-1.1654905080795288,-1.1687592267990112,-1.2531541585922241,-1.265367865562439,1,1,False,0.00326880207285285,-0.00905376672744751,0.00905376672744751,140.0,-0.0002589670817057292,0.003629125654697418,-0.004888951778411865,0.012213842011988163,0.02136397361755371,0.02136397361755371,106.66665649414062,0.0021234146753946943,0.006141096353530884,0.01521475613117218
67#4,PC OFF,primary,20260828,SBC,bright_surround_minus_dark_surround,False,50,51,0.051991935819387436,0.002000149106606841,-0.962609052658081,-1.0146008729934692,-0.9876049160957336,-0.9896049499511719,1,1,False,0.051991935819387436,0.13217365741729736,0.13217365741729736,120.0,0.014127863248189291,0.014495491981506348,0.1189352348446846,0.002000149106606841,0.005462646484375,0.005462646484375,120.0,0.0006079705556233724,0.0005375444889068604,0.005014300346374512
67#4,PC OFF,primary,20260828,control_bright_surround_minus_dark_surround,control_bright_surround_minus_dark_surround,True,52,53,0.0,0.0,-0.9886047840118408,-0.9886047840118408,-0.9886047840118408,-0.9886047840118408,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,primary,20260828,Hermann,intersection_minus_corridor,False,54,55,0.025725483894348145,0.0006956656579859555,-1.169148325920105,-1.1948740482330322,-1.2659670114517212,-1.26666259765625,1,1,False,0.025725483894348145,0.06546521186828613,0.06546521186828613,120.0,0.007009952863057455,0.007170125842094421,0.058955080807209015,0.0006956656579859555,0.0018951892852783203,0.0018951892852783203,120.0,0.00021138270696004232,0.00018747150897979736,0.001740679144859314
67#4,PC OFF,primary,20260828,control_intersection_minus_corridor,control_intersection_minus_corridor,True,56,57,0.0,0.0,-1.1948738098144531,-1.1948738098144531,-1.266662836074829,-1.266662836074829,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,primary,20260828,White,on_bright_bar_minus_on_dark_bar,False,58,59,-0.02602955512702465,-0.0010185003047809005,-1.0016196966171265,-0.975590169429779,-0.9891141653060913,-0.9880957007408142,-1,-1,False,-0.02602955512702465,-0.06620395183563232,0.06620395183563232,120.0,-0.0070773712793986004,-0.007254518568515778,-0.059577420353889465,-0.0010185003047809005,-0.002781510353088379,0.002781510353088379,120.0,-0.0003095690409342448,-0.0002737492322921753,-0.002553194761276245
67#4,PC OFF,primary,20260828,control_on_bright_bar_minus_on_dark_bar,control_on_bright_bar_minus_on_dark_bar,True,60,61,0.0,0.0,-0.9886047840118408,-0.9886047840118408,-0.9886047840118408,-0.9886047840118408,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,primary,20260828,remote_contour_rearrangement_control_A_minus_B,remote_contour_rearrangement_control_A_minus_B,True,65,66,0.0,0.0,-0.9886047840118408,-0.9886047840118408,-0.9886047840118408,-0.9886047840118408,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,primary,20260828,contour_rearrangement_control_A_minus_B,contour_rearrangement_control_A_minus_B,True,69,70,0.0,0.0,-1.1948750019073486,-1.1948750019073486,-1.266664743423462,-1.266664743423462,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,fresh_1,20360828,Mach dark,ramp_minus_matched_uniform_x-04,False,8,33,-0.0032827218528836966,-0.01272930670529604,-0.8630493879318237,-0.8597666621208191,-0.7722998857498169,-0.7595705389976501,-1,-1,False,-0.0032827218528836966,0.00941932201385498,0.00941932201385498,140.0,0.0002826050917307536,-0.00384628027677536,0.0053239986300468445,-0.01272930670529604,-0.02203601598739624,0.02203601598739624,106.66665649414062,-0.0021877992153167725,-0.006571583449840546,-0.015453316271305084
67#4,PC OFF,fresh_1,20360828,Mach bright,ramp_minus_matched_uniform_x+04,False,16,41,0.003282729769125581,0.012729311361908913,-1.229164719581604,-1.2324475049972534,-1.3199143409729004,-1.3326433897018433,1,1,False,0.003282729769125581,-0.00941932201385498,0.00941932201385498,140.0,-0.0002826038996378581,0.003846272826194763,-0.0053239911794662476,0.012729311361908913,0.022036075592041016,0.022036075592041016,106.66665649414062,0.002187799612681071,0.006571590900421143,0.015453308820724487
67#4,PC OFF,fresh_1,20360828,SBC,bright_surround_minus_dark_surround,False,50,51,0.05651872977614403,0.001950518344528973,-1.0178476572036743,-1.0743664503097534,-1.0451319217681885,-1.0470824241638184,1,1,False,0.05651872977614403,0.14106899499893188,0.14106899499893188,120.0,0.015097780227661133,0.016132861375808716,0.1267436444759369,0.001950518344528973,0.005495548248291016,0.005495548248291016,120.0,0.0006294886271158855,0.0005179047584533691,0.005078911781311035
67#4,PC OFF,fresh_1,20360828,control_bright_surround_minus_dark_surround,control_bright_surround_minus_dark_surround,True,52,53,0.0,0.0,-1.0461071729660034,-1.0461071729660034,-1.0461071729660034,-1.0461071729660034,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,fresh_1,20360828,Hermann,intersection_minus_corridor,False,54,55,0.027984149754047394,0.0006782134296372533,-1.2328284978866577,-1.2608126401901245,-1.3332278728485107,-1.3339060544967651,1,1,False,0.027984149754047394,0.06989073753356934,0.06989073753356934,120.0,0.0074918897946675625,0.007989063858985901,0.06283564865589142,0.0006782134296372533,0.0019061565399169922,0.0019061565399169922,120.0,0.00021883408228556318,0.00018058717250823975,0.0017627626657485962
67#4,PC OFF,fresh_1,20360828,control_intersection_minus_corridor,control_intersection_minus_corridor,True,56,57,0.0,0.0,-1.2608121633529663,-1.2608121633529663,-1.3339062929153442,-1.3339062929153442,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,fresh_1,20360828,White,on_bright_bar_minus_on_dark_bar,False,58,59,-0.028293132781982422,-0.0009930769447237253,-1.060253620147705,-1.0319606065750122,-1.0466036796569824,-1.0456105470657349,-1,-1,False,-0.028293132781982422,-0.07065677642822266,0.07065677642822266,120.0,-0.007563257217407226,-0.008073002099990845,-0.06348678469657898,-0.0009930769447237253,-0.002797842025756836,0.002797842025756836,120.0,-0.00032046953837076825,-0.0002636909484863281,-0.0025856494903564453
67#4,PC OFF,fresh_1,20360828,control_on_bright_bar_minus_on_dark_bar,control_on_bright_bar_minus_on_dark_bar,True,60,61,0.0,0.0,-1.0461071729660034,-1.0461071729660034,-1.0461071729660034,-1.0461071729660034,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,fresh_1,20360828,remote_contour_rearrangement_control_A_minus_B,remote_contour_rearrangement_control_A_minus_B,True,65,66,0.0,0.0,-1.0461071729660034,-1.0461071729660034,-1.0461071729660034,-1.0461071729660034,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,fresh_1,20360828,contour_rearrangement_control_A_minus_B,contour_rearrangement_control_A_minus_B,True,69,70,0.0,0.0,-1.260813593864441,-1.260813593864441,-1.333908200263977,-1.333908200263977,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC OFF,fresh_2,20460828,Mach dark,ramp_minus_matched_uniform_x-04,False,8,33,-0.004980794619768858,-0.012073139660060406,-0.8340868353843689,-0.8291060924530029,-0.7631968855857849,-0.7511237263679504,-1,-1,False,-0.004980794619768858,-0.008519530296325684,0.008519530296325684,40.0,-0.00011479854583740234,-0.004497349262237549,0.002210944890975952,-0.012073139660060406,-0.01996314525604248,0.01996314525604248,106.66665649414062,-0.001981638669967651,-0.006555043160915375,-0.013402275741100311
67#4,PC OFF,fresh_2,20460828,Mach bright,ramp_minus_matched_uniform_x+04,False,16,41,0.004980794619768858,0.012073135003447533,-1.2156256437301636,-1.2206063270568848,-1.2865155935287476,-1.2985886335372925,1,1,False,0.004980794619768858,0.008519530296325684,0.008519530296325684,40.0,0.00011479894320170085,0.004497364163398743,-0.002210944890975952,0.012073135003447533,0.01996326446533203,0.01996326446533203,106.66665649414062,0.001981638272603353,0.006555035710334778,0.013402312994003296
67#4,PC OFF,fresh_2,20460828,SBC,bright_surround_minus_dark_surround,False,50,51,0.03955412283539772,0.0013742129085585475,-1.0050791501998901,-1.0446332693099976,-1.0241692066192627,-1.025543451309204,1,1,False,0.03955412283539772,0.10013145208358765,0.10013145208358765,120.0,0.010796882311503093,0.011279940605163574,0.08993659913539886,0.0013742129085585475,0.003922224044799805,0.003922224044799805,120.0,0.0004643726348876953,0.0003593266010284424,0.003634840250015259
67#4,PC OFF,fresh_2,20460828,control_bright_surround_minus_dark_surround,control_bright_surround_minus_dark_surround,True,52,53,0.0,0.0,-1.0248563289642334,-1.0248563289642334,-1.0248563289642334,-1.0248563289642334,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
