group,probe,mode,channel,n_cells,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
MC_ON,rapid_10Hz,normal,logit,5,0.3310373306274414,0.3310373306274414,421.3333333333333,121.33333333333334,0.4134246170520782,0.05130449533462524,-2.065300941467285e-05,0.09600746631622314,0.18138625621795654,0.09600746631622314,0.1073132798075676,0.0,0.0,0.0,0.0
MC_ON,rapid_20Hz,normal,logit,5,0.24261350631713868,0.24261350631713868,764.0000000000001,464.0000000000001,0.4134503066539764,-0.03711932897567749,5.036592483520508e-06,0.09995100796222686,0.10602140724658966,0.09995100796222686,0.19360010027885438,0.0,0.0,0.0,0.0
MC_ON,transient_50ms,normal,logit,5,0.38765037059783936,0.38765037059783936,1373.3333333333335,1073.3333333333335,0.41342132687568667,0.1079175353050232,-2.3943185806274413e-05,0.09600746631622314,0.0769564613699913,0.09600746631622314,0.07631599083542824,0.0,0.0,0.0,0.0
MC_ON,large_field_50ms,normal,logit,5,-0.06858785152435302,0.2035672426223755,369.33333333333337,69.33333333333334,7.152557324197062e-10,-0.22372595071792603,1.5099843264643197e-09,0.0946660578250885,-0.06099594719707966,0.0946660578250885,-0.06099594719707966,0.0,0.0,0.0,0.0
MC_ON,slow_step,normal,probability,5,0.08037027418613434,0.08037027418613434,1480.0,1180.0,0.07351893484592438,0.033390235900878903,0.005156673491001129,0.015641142800450324,0.050194086879491805,0.015641142800450324,0.004553801193833351,0.0,0.0,0.0,0.0
MC_ON,slow_1Hz,normal,probability,5,0.08037013709545135,0.08037013709545135,980.0,680.0,0.07323547303676606,0.033390098810195924,0.004873211681842804,0.015641142800450324,0.05019679963588715,0.015641142800450324,0.004553082212805748,0.0,0.0,0.0,0.0
MC_ON,slow_2Hz,normal,probability,5,0.08037405610084533,0.08037405610084533,1045.3333333333335,745.3333333333334,0.07265606373548508,0.033394017815589906,0.004293802380561829,0.015641142800450324,0.050253476947546005,0.015641142800450324,0.0035469753347570077,0.0,0.0,0.0,0.0
MC_ON,rapid_10Hz,normal,probability,5,0.056773439049720764,0.056773439049720764,421.3333333333333,121.33333333333334,0.06893695220351219,0.009793400764465332,0.0005746908485889435,0.015641142800450324,0.03032747618854046,0.015641142800450324,0.017097117751836775,0.0,0.0,0.0,0.0
MC_ON,rapid_20Hz,normal,probability,5,0.04049501419067383,0.04049501419067383,764.0000000000001,464.0000000000001,0.06833495199680328,-0.006485024094581604,-2.73093581199646e-05,0.016319360211491586,0.017458397522568704,0.016319360211491586,0.031751738861203194,0.0,0.0,0.0,0.0
MC_ON,transient_50ms,normal,probability,5,0.06741361320018768,0.06741361320018768,1373.3333333333335,1073.3333333333335,0.06847761422395707,0.02043357491493225,0.00011535286903381347,0.015641142800450324,0.012942374870181083,0.015641142800450324,0.011926691420376301,0.0,0.0,0.0,0.0
MC_ON,large_field_50ms,normal,probability,5,0.033576163649559024,0.033576163649559024,969.3333333333334,669.3333333333334,0.00020749428076669574,-0.012811619043350219,-7.315693364944309e-05,0.015407997369766235,-0.008773203985765577,0.015407997369766235,-0.008773203985765577,0.0,0.0,0.0,0.0
MC_ON,slow_step,H1_off,logit,5,0.45499093532562257,0.45499093532562257,1500.0,1200.0,0.4145452678203583,0.17215055227279663,-0.0010583162307739257,0.0974300593137741,0.2911814391613007,0.0974300593137741,0.026502178609371187,0.002333462308160961,0.008850908279418946,0.015259075164794921,0.002166877721901983
MC_ON,slow_1Hz,H1_off,logit,5,0.45499041080474856,0.45499041080474856,1000.0,700.0,0.4146550357341766,0.17215002775192262,-0.0009485483169555664,0.0974300593137741,0.29119656383991244,0.0974300593137741,0.026497094333171843,0.002978286473080516,0.00912647247314453,0.015534782409667968,0.0021697963820770383
MC_ON,slow_2Hz,H1_off,logit,5,0.4550341010093689,0.4550341010093689,1061.3333333333335,761.3333333333334,0.4148741066455841,0.17219371795654298,-0.0007294774055480957,0.0974300593137741,0.2915056854486465,0.0974300593137741,0.020910930680111052,0.004259961517527699,0.009163618087768555,0.015503931045532226,0.002175347285810858
MC_ON,rapid_10Hz,H1_off,logit,5,0.3223466396331787,0.3223466396331787,421.3333333333333,121.33333333333334,0.4155891716480255,0.03950625658035278,-1.4412403106689454e-05,0.0974300593137741,0.17457362413406372,0.0974300593137741,0.11873886585235596,0.007265286007896066,0.014763641357421874,0.014763641357421874,0.0021645396365784107
MC_ON,rapid_20Hz,H1_off,logit,5,0.24660143852233887,0.24660143852233887,762.6666666666667,462.6666666666667,0.4156089246273041,-0.03623894453048706,5.340576171875e-06,0.10137240886688233,0.10560196936130524,0.10137240886688233,0.1999171793460846,0.0033458640798926355,0.012423527240753175,0.012423527240753175,0.00215860353782773
MC_ON,transient_50ms,H1_off,logit,5,0.38197602033615113,0.38197602033615113,1373.3333333333335,1073.3333333333335,0.415580952167511,0.0991356372833252,-2.263188362121582e-05,0.0974300593137741,0.07731362879276275,0.0974300593137741,0.08828196302056313,0.001954009709879756,0.014753198623657227,0.014753198623657227,0.002159628306981176
