group,condition,mode,cells,mean_peak_response_probability,mean_peak_response_logit,mean_peak_latency_ms_probability,mean_peak_latency_ms_logit,mean_response_integral_probability_s,mean_response_integral_logit_s,mean_integral_change_vs_center_only,mean_integral_fraction_vs_center_only,mean_peak_change_vs_center_only,mean_peak_fraction_vs_center_only,mean_center_onset_response,mean_center_offset_response,mean_surround_onset_response,mean_surround_offset_response
PC_ON,center_surround_simultaneous,normal,9,0.01272782435019811,0.09163947900136311,360.0,360.0,0.00028925234801135957,0.0016019967798557547,-0.009546215325826779,-0.9748809430615544,-0.09005584898922178,-0.8817100939412609,0.008335482743051317,-0.0013662395584914419,0.008335482743051317,-0.0013662395584914419
PC_ON,center_then_surround_100ms,AC_off,9,0.10261447065406376,0.6084941956732008,405.9259259259259,405.9259259259259,0.00975400230122937,0.060524373004833855,-5.918720530139076e-05,-0.00600581349691887,-9.602970547146268e-08,-7.664975244508745e-07,0.021951791416439746,0.0763569184475475,0.0763569184475475,-0.0005162003346615367
PC_ON,center_then_surround_100ms,H1_off,9,0.10268087188402812,0.4844641486803691,405.9259259259259,417.03703703703707,0.002085024335732063,0.0017258318451543648,-0.007758205911765496,-0.789393394320972,-0.00019364886813693575,-0.002336075965611188,0.021971593507462077,0.06219868237773577,0.06219868237773577,-0.057623333401150174
PC_ON,center_then_surround_100ms,normal,9,0.10258998804622227,0.48402880960040623,405.9259259259259,417.03703703703707,0.0020694497248364817,0.0016092852327144807,-0.007766017949001657,-0.7907288303951415,-0.00019368529319763184,-0.002335013291826532,0.021960108333991632,0.062103275623586446,0.062103275623586446,-0.057695155342419945
PC_ON,center_then_surround_50ms,AC_off,9,0.10236635969744788,0.6072357429398431,405.9259259259259,405.9259259259259,0.009749156785094075,0.060525244722763695,-6.403272143668598e-05,-0.006515432776710902,-0.00024820698632134334,-0.002396720921852702,0.021951791416439746,0.0760520953271124,0.07987609298692809,0.017841783145235643
PC_ON,center_then_surround_50ms,H1_off,9,0.06275799208217198,0.3812576863500807,380.74074074074076,380.74074074074076,0.0011508619322234557,0.001721322581741131,-0.008692368315274103,-0.8866711862838081,-0.04011652866999308,-0.41622688560776555,0.021971593507462077,0.010946861054334376,0.06515231086975998,-0.04526522155437204
PC_ON,center_then_surround_50ms,normal,9,0.06268180575635698,0.3808496528201633,380.74074074074076,380.74074074074076,0.0011343428729257237,0.0016045663958518868,-0.008701124800912416,-0.888173313314788,-0.04010186758306292,-0.4162573096126554,0.021960108333991632,0.01077988495429357,0.06506308996015125,-0.045361129773987666
PC_ON,surround_only,AC_off,9,-0.0004841569397184584,-0.003422260284423828,422.96296296296293,422.96296296296293,-5.8038522790108495e-05,-0.00040913556586019695,-0.00987122802932087,-1.0058861109894788,-0.10309872362348768,-1.004689177434261,,,-3.9406948619418676e-05,-0.00045246434294515185
PC_ON,surround_only,H1_off,9,-0.06485258125596577,-0.5451659626430936,411.11111111111114,411.11111111111114,-0.007426634482625458,-0.059410471469163895,-0.017269864730123017,-1.7541980864747746,-0.16772710200813082,-1.628904578297015,,,-0.011761415749788284,-0.057597394204801984
PC_ON,surround_only,normal,9,-0.06494151718086666,-0.5461155441072252,411.11111111111114,411.11111111111114,-0.007434084701041381,-0.059485189202759,-0.01726955237487952,-1.755478538125305,-0.16772519052028656,-1.6302384352505257,,,-0.011780798952612612,-0.05767338598767916
PC_ON,surround_then_center_100ms,AC_off,9,0.10243848297331068,0.6075953245162964,405.9259259259259,405.9259259259259,0.009747675620019436,0.06052508163783285,-6.551388651132584e-05,-0.006674193035789638,-0.00017608371045854356,-0.0017496702089328565,0.021457935476468668,0.07629366922709677,-3.9406948619418676e-05,0.021457935476468668
PC_ON,surround_then_center_100ms,H1_off,9,0.09301799866888258,0.3088785277472602,407.40740740740745,384.44444444444446,0.0016739802409170403,0.0016876015773353477,-0.008169250006580519,-0.831490166675247,-0.00985652208328247,-0.09779283009215108,-0.04100478544003434,0.07094224542379379,-0.011761431582272053,-0.04100478544003434
PC_ON,surround_then_center_100ms,normal,9,0.09295994374487135,0.30861081679662067,407.40740740740745,384.44444444444446,0.0016591079507230057,0.0015708097845264194,-0.008176359723115133,-0.8327988999367864,-0.009823729594548544,-0.09756384900634814,-0.041097919560141034,0.07089773979451922,-0.01178081478509638,-0.041097919560141034
PC_ON,surround_then_center_50ms,AC_off,9,0.1021069884300232,0.605900228023529,405.9259259259259,405.9259259259259,0.009741977788507938,0.060526183909840055,-7.121171802282333e-05,-0.007275431349225185,-0.0005075782537460327,-0.0049999068274482325,0.02164032610340251,0.07603591142429246,-3.60001406281501e-05,0.07932705308000247
PC_ON,surround_then_center_50ms,H1_off,9,0.040751322276062436,0.16646165980233085,402.962962962963,391.8518518518519,0.0006648348757557364,0.0017109544197511342,-0.009178395371741822,-0.9357056320825552,-0.06212319847610262,-0.6374136397066403,-0.03389825992700127,0.043411934541331396,-0.011209182389494445,0.0013601311471170953
PC_ON,surround_then_center_50ms,normal,9,0.04064692887994978,0.16589872704611885,402.962962962963,391.8518518518519,0.0006483777962987208,0.001593854634039518,-0.009187089877539419,-0.9372618512508937,-0.062136744459470115,-0.6378904907630363,-0.03399601030266947,0.043327016548977956,-0.011227445987363657,0.0011975938994308105
