cell_id,group,condition,mode,offset_ms,peak_response_probability,peak_response_logit,peak_latency_ms_probability,peak_latency_ms_logit,response_integral_probability_s,response_integral_logit_s,integral_change_vs_center_only,integral_fraction_vs_center_only,peak_change_vs_center_only,peak_fraction_vs_center_only,center_onset_response,center_offset_response,surround_onset_response,surround_offset_response
69#6,MC_OFF,surround_then_center_50ms,H1_off,-50.0,0.05682295560836792,0.3223602771759033,406.6666666666667,406.6666666666667,0.0005273794522508979,0.000964724225923419,-0.009430944570340216,-0.9470413444014774,-0.04591307044029236,-0.44690331333767885,-0.03412463515996933,0.04163585230708122,-0.012667104601860046,0.004435575567185879
69#6,MC_OFF,center_surround_simultaneous,H1_off,0.0,0.02295100688934326,0.13708758354187012,333.33333333333337,333.33333333333337,0.00021818370441906154,0.0009742387337610126,-0.009740140318172053,-0.9780903188203057,-0.07978501915931702,-0.7766021543555456,0.014333579689264297,-0.008918145671486855,0.014333579689264297,-0.008918145671486855
69#6,MC_OFF,center_then_surround_50ms,H1_off,50.0,0.07725691795349121,0.4264565706253052,366.6666666666667,366.6666666666667,0.0010696090757846832,0.0009837150573730469,-0.00888871494680643,-0.892591456819621,-0.025479108095169067,-0.2480055835827351,0.030211927369236946,-0.001294570043683052,0.06935697048902512,-0.05155136063694954
69#6,MC_OFF,center_then_surround_100ms,H1_off,100.0,0.10273602604866028,0.549915611743927,400.0,400.0,0.0019078338518738747,0.0009880670113489032,-0.00805049017071724,-0.8084181788475824,0.0,0.0,0.030211927369236946,0.053566236048936844,0.053566236048936844,-0.061310961842536926
69#6,MC_OFF,center_only,AC_off,,0.1022067666053772,0.5474134683609009,400.0,400.0,0.009895453229546547,0.0550919733941555,0.0,0.0,0.0,0.0,0.0301499180495739,0.06853343546390533,,
69#6,MC_OFF,surround_only,AC_off,,-0.00043101608753204346,-0.002682209014892578,420.0,420.0,-5.2035255066584796e-05,-0.0003237255441490561,-0.009947488484613132,-1.0052585014409663,-0.10263778269290924,-1.0042170993354698,,,-5.1451846957206726e-05,-0.000400543212890625
69#6,MC_OFF,surround_then_center_100ms,AC_off,-100.0,0.10205098986625671,0.5466766357421875,400.0,400.0,0.009837774559855461,0.05476914718747139,-5.7678669691085815e-05,-0.0058288052455106095,-0.0001557767391204834,-0.0015241333259464235,0.029710061848163605,0.06845207512378693,-5.1451846957206726e-05,0.029710061848163605
69#6,MC_OFF,surround_then_center_50ms,AC_off,-50.0,0.10178175568580627,0.545402467250824,400.0,400.0,0.00983371026813984,0.05476992577314377,-6.174296140670776e-05,-0.006239528394955296,-0.00042501091957092285,-0.004158344243604734,0.02983468770980835,0.06825682520866394,-4.8162681196117774e-05,0.08504629135131836
69#6,MC_OFF,center_surround_simultaneous,AC_off,0.0,0.10169103741645813,0.5449729561805725,400.0,400.0,0.009834186173975468,0.05476992577314377,-6.126705557107925e-05,-0.006191435010590897,-0.0005157291889190674,-0.005045939775301867,0.030089445412158966,0.06804610788822174,0.030089445412158966,0.06804610788822174
69#6,MC_OFF,center_then_surround_50ms,AC_off,50.0,0.10198822617530823,0.5463796854019165,400.0,400.0,0.009838913567364216,0.05476926267147064,-5.6539662182331085e-05,-0.005713701118157069,-0.00021854043006896973,-0.002138218802212574,0.0301499180495739,0.06819677352905273,0.08549593389034271,0.01372962724417448
69#6,MC_OFF,center_then_surround_100ms,AC_off,100.0,0.1022067666053772,0.5474134683609009,400.0,400.0,0.009842497296631336,0.054768647998571396,-5.2955932915210724e-05,-0.005351541934137098,0.0,0.0,0.0301499180495739,0.06847451627254486,0.06847451627254486,-0.0005278345197439194
69#7,MC_ON,center_only,normal,,0.1110541969537735,0.5399526953697205,400.0,400.0,0.01084334310144186,0.05439938232302666,0.0,0.0,0.0,0.0,0.03671545535326004,0.07121023535728455,,
69#7,MC_ON,surround_only,normal,,-0.09686480462551117,-0.6409300565719604,413.33333333333337,413.33333333333337,-0.01087714359164238,-0.06823208183050156,-0.02172048669308424,-2.0031171650554915,-0.20791900157928467,-1.8722300217598378,,,-0.01637902669608593,-0.08656113594770432
69#7,MC_ON,surround_then_center_100ms,normal,-100.0,0.09746934473514557,-0.620299220085144,406.6666666666667,300.0,-0.0009468008065596223,-0.013869093731045723,-0.011790143908001482,-1.0873163191187527,-0.01358485221862793,-0.12232632886700039,-0.05900024622678757,0.06554965674877167,-0.01637904718518257,-0.05900024622678757
69#7,MC_ON,surround_then_center_50ms,normal,-50.0,-0.05827200412750244,-0.353918194770813,306.6666666666667,306.6666666666667,-0.0021385876461863518,-0.01389201171696186,-0.012981930747628212,-1.1972258579461512,-0.16932620108127594,-1.5247168114840204,-0.04924672096967697,0.02992606908082962,-0.015392782166600227,-0.017113683745265007
69#7,MC_ON,center_surround_simultaneous,normal,0.0,-0.04616989195346832,-0.27404558658599854,433.33333333333337,433.33333333333337,-0.0023298594169318676,-0.01389556284993887,-0.013173202518373728,-1.2148654151340155,-0.15722408890724182,-1.4157419820224049,0.017518283799290657,-0.035157155245542526,0.017518283799290657,-0.035157155245542526
69#7,MC_ON,center_then_surround_50ms,normal,50.0,0.08668427169322968,-0.5403875112533569,366.6666666666667,466.6666666666667,-0.0012143292697146535,-0.01383515726774931,-0.012057672371156514,-1.111988457651329,-0.024369925260543823,-0.2194417314159486,0.03671545535326004,-0.019559644162654877,0.07595556229352951,-0.07795886695384979
69#7,MC_ON,center_then_surround_100ms,normal,100.0,0.1110541969537735,-0.6416751146316528,400.0,513.3333333333334,-0.0002836921776179224,-0.013808326795697212,-0.011127035279059783,-1.0261627963778255,0.0,0.0,0.03671545535326004,0.05287910997867584,0.05287910997867584,-0.08657750487327576
69#7,MC_ON,center_only,H1_off,,0.11124397814273834,0.540787398815155,400.0,400.0,0.010852373205125332,0.054432984441518784,0.0,0.0,0.0,0.0,0.03676537424325943,0.07131488621234894,,
