cell_id,group,pathway,zero_norm,aligned_norm,delta_norm,relative_l2,cosine,zero_energy_x_degree,zero_energy_y_degree,aligned_energy_x_degree,aligned_energy_y_degree,centroid_shift_degree
67#34,PC_ON,AC,0.10431770884537987,0.1116106888539439,0.007292980008564029,0.982528820199178,0.551142529948858,0.0,2.4907733014584756e-18,-0.014976920410423438,-0.08505568570771782,0.08636421606307923
68#3,MC_OFF,global,0.1944865120366569,0.3007277826767081,0.10624127064005118,1.7758547266725229,0.07672581765814888,1.307516173722327e-12,2.467712717832068e-12,-0.15066794969181238,0.034783835885714966,0.1546310004607135
68#3,MC_OFF,H1,0.002027798576459553,0.015439156009735767,0.013411357433276214,7.010257527081036,0.6452477471632394,-7.881827506078211e-10,2.1084368036357128e-09,-0.15136748497125474,0.03533611387661375,0.15543730589149327
68#3,MC_OFF,direct_BC,0.20799754626271666,0.29753478311601805,0.0895372368533014,1.68486602986028,0.07252086495488441,0.0,0.0,-0.14969515313174275,0.035236302516934485,0.15378633192257637
68#3,MC_OFF,AC,0.10411817181107065,0.12638258610489003,0.022264414293819382,1.3272681373922723,0.2931865092704197,0.0,5.000658646387256e-18,-0.15455176623981018,0.03288891194363249,0.1580124329813352
68#4,PC_ON,global,0.13349156421809827,0.17105342007933821,0.037561855861239946,0.8025221169519012,0.779586442977912,2.5979482993951553e-15,5.5332648264283933e-14,-0.009350191220904625,0.009833685187520064,0.01356935666248381
68#4,PC_ON,H1,0.0005157428556975902,0.00049885403240333,-1.688882329426019e-05,0.06318242328379299,0.9984907372737681,2.409169231376179e-09,6.800306975056016e-09,-7.482815698580644e-06,0.0007953646657156457,0.0007953930868814229
68#4,PC_ON,direct_BC,0.15470735501625266,0.19809110086292855,0.0433837458466759,0.731351785237958,0.8218413286007898,0.0,0.0,-0.014446748182338187,0.014669636280740878,0.020588996130290586
68#4,PC_ON,AC,0.16919589045688366,0.16799139906593052,-0.001204491390953133,0.16951227384811582,0.9855553034056626,0.0,0.0,-0.008186040834216786,0.008729548003357807,0.01196730015009204
68#7,PC_ON,global,0.21254072432853235,0.25432763185019963,0.04178690752166728,1.5826684963364304,-0.030491321536211344,-2.7480931352071013e-16,8.930702669087882e-15,-0.09148597864805678,0.1065496179261356,0.1404368376509391
68#7,PC_ON,H1,0.0004209501642765045,0.0010185555478846877,0.0005976053836081832,2.0415943696411802,0.5551690131669044,8.926676526875922e-10,3.2398782242026215e-09,-0.09322087689831685,0.10749564430342208,0.14228648883075273
68#7,PC_ON,direct_BC,0.26817797614665095,0.2883687553611628,0.020190779214511845,1.4684161033835885,0.0,0.0,0.0,-0.0922086687639365,0.10693189032357438,0.14119797365185627
68#7,PC_ON,AC,0.1065243462490334,0.1173585268435848,0.010834180594551407,1.2817676610833146,0.25906549371040816,0.0,-2.3886500431426134e-18,-0.08823578098627007,0.10494300576334238,0.13710794107163135
68#10,MC_ON,global,0.1415264843635132,0.27221182229944985,0.13068533793593665,2.1678374340997046,-1.4947143491522212e-05,6.21137186074261e-16,1.4590634292489502e-14,-0.24624299558390936,0.336915761289403,0.4173102479922409
68#10,MC_ON,H1,0.0003171285428335921,0.016705928327169807,0.016388799784336217,52.662606804080575,0.025610472835405913,-1.6909281121078502e-08,2.6510180524965856e-08,-0.25734176617623195,0.33807073640030183,0.4248724288552797
