cell_id,group,mode,pathway,valid_bins,mean_abs_delta_logit,change_from_production
69#21,PC OFF,continuous,H1_off,2880,0.005109579116106033,-2.771988511085857e-06
69#21,PC OFF,continuous,direct_BC_off,2880,1.2154796396692593,-0.00010629209379353632
69#21,PC OFF,continuous,AC_off,2880,0.8374220182498296,-7.560054461153154e-05
70#1,PC ON,production,H1_off,2880,0.0026312321424484253,0.0
70#1,PC ON,production,direct_BC_off,2880,1.1119571376591921,0.0
70#1,PC ON,production,AC_off,2880,1.1615450814366342,0.0
70#1,PC ON,preroll_400ms,H1_off,2880,0.002641221135854721,9.988993406295863e-06
70#1,PC ON,preroll_400ms,direct_BC_off,2880,1.1117862173666557,-0.00017092029253640284
70#1,PC ON,preroll_400ms,AC_off,2880,1.1613642356048028,-0.0001808458318313111
70#1,PC ON,continuous,H1_off,2880,0.002642172078291575,1.0939935843149676e-05
70#1,PC ON,continuous,direct_BC_off,2880,1.1117841163029274,-0.00017302135626473536
70#1,PC ON,continuous,AC_off,2880,1.1613625773539147,-0.00018250408271947016
70#7,PC ON,production,H1_off,3360,0.022209154672565914,0.0
70#7,PC ON,production,direct_BC_off,3360,1.4072785344507013,0.0
70#7,PC ON,production,AC_off,3360,1.2168988816794895,0.0
70#7,PC ON,preroll_400ms,H1_off,3360,0.022201994416259585,-7.160256306329438e-06
70#7,PC ON,preroll_400ms,direct_BC_off,3360,1.4071618569926136,-0.00011667745808763286
70#7,PC ON,preroll_400ms,AC_off,3360,1.2167939677479722,-0.00010491393151723649
70#7,PC ON,continuous,H1_off,3360,0.022202013060450554,-7.141612115360574e-06
70#7,PC ON,continuous,direct_BC_off,3360,1.4071568781776087,-0.0001216562730925741
70#7,PC ON,continuous,AC_off,3360,1.2167918226903394,-0.00010705898915008838
70#15,PC ON,production,H1_off,2880,0.005546991278727849,0.0
70#15,PC ON,production,direct_BC_off,2880,1.5256313317972752,0.0
70#15,PC ON,production,AC_off,2880,1.3717947244230244,0.0
70#15,PC ON,preroll_400ms,H1_off,2880,0.0055367964009443915,-1.0194877783457727e-05
70#15,PC ON,preroll_400ms,direct_BC_off,2880,1.525463641124467,-0.00016769067280808514
70#15,PC ON,preroll_400ms,AC_off,2880,1.3717149587968984,-7.97656261259938e-05
70#15,PC ON,continuous,H1_off,2880,0.005536842387583521,-1.0148891144328223e-05
70#15,PC ON,continuous,direct_BC_off,2880,1.5254604528140692,-0.00017087898320600203
70#15,PC ON,continuous,AC_off,2880,1.3717090638561382,-8.566056688619206e-05
70#34,MC ON,production,H1_off,3360,0.022781762977441153,0.0
70#34,MC ON,production,direct_BC_off,3360,1.3277729914834102,0.0
70#34,MC ON,production,AC_off,3360,1.4019145748267572,0.0
70#34,MC ON,preroll_400ms,H1_off,3360,0.022792435685793557,1.0672708352404275e-05
70#34,MC ON,preroll_400ms,direct_BC_off,3360,1.327658169095715,-0.00011482238769522368
70#34,MC ON,preroll_400ms,AC_off,3360,1.401806337138017,-0.00010823768874024253
70#34,MC ON,continuous,H1_off,3360,0.0227920134862264,1.0250508785246415e-05
70#34,MC ON,continuous,direct_BC_off,3360,1.3276521359880766,-0.00012085549533358275
70#34,MC ON,continuous,AC_off,3360,1.4018035758286715,-0.00011099899808564295
