cell_id,feature,probability,threshold
68#7,S,0.2,0.02436148499005601
68#7,S,0.4,0.0644523671695165
68#7,S,0.6,0.13744213048900875
68#7,S,0.8,0.27286878973245643
68#7,U,0.2,0.22728587791789326
68#7,U,0.4,0.48672241158783447
68#7,U,0.6,0.6085350275039672
68#7,U,0.8,0.8193973913788835
68#7,LSC,0.2,0.08325538943102868
68#7,LSC,0.4,0.183288173575714
68#7,LSC,0.6,0.34000203374049587
68#7,LSC,0.8,0.6651794101004206
68#10,S,0.2,0.025327386356914495
68#10,S,0.4,0.058477940845799055
68#10,S,0.6,0.1135547034490806
68#10,S,0.8,0.25496176588651454
68#10,U,0.2,0.15025884759697053
68#10,U,0.4,0.3740437431768938
68#10,U,0.6,0.5771199036728252
68#10,U,0.8,0.8473135170103482
68#10,LSC,0.2,0.08999465241333657
68#10,LSC,0.4,0.20184260902508075
68#10,LSC,0.6,0.34963999243529936
68#10,LSC,0.8,0.641807943443582
68#11,S,0.2,0.020575327177842474
68#11,S,0.4,0.06140212950607147
68#11,S,0.6,0.140736502005408
68#11,S,0.8,0.3415381404881678
68#11,U,0.2,0.2133920943985384
68#11,U,0.4,0.478459010521571
68#11,U,0.6,0.6248862783114114
68#11,U,0.8,1.0122032523155262
68#11,LSC,0.2,0.07710607375666347
68#11,LSC,0.4,0.16314399611264102
68#11,LSC,0.6,0.32202203771677845
68#11,LSC,0.8,0.6480653137584065
69#3,S,0.2,0.02621220302457612
69#3,S,0.4,0.06697689195473995
69#3,S,0.6,0.15902847234780584
69#3,S,0.8,0.35585496865833804
69#3,U,0.2,0.23409010209143166
69#3,U,0.4,0.49692699611187
69#3,U,0.6,0.6341618865728377
69#3,U,0.8,1.1903008654713658
69#3,LSC,0.2,0.08089955061475665
69#3,LSC,0.4,0.1652318602709392
69#3,LSC,0.6,0.33205468628487805
69#3,LSC,0.8,0.6946244761680606
69#4,S,0.2,0.0265050674850743
69#4,S,0.4,0.06897363331789774
69#4,S,0.6,0.1519941922773916
69#4,S,0.8,0.35336383680502587
69#4,U,0.2,0.22558375688502572
