split,cell_id,group,pathway,quintile,bins,mean_delta_loss,median_delta_loss,normal_nll,recalibrated_off_nll,event_rate,mean_C,mean_U,mean_R,mean_V,mean_LSC
consumed,67#26,PC_ON,AC,5,6013,0.25283639779051886,-0.057946276578728195,0.571467012371056,0.8243034101615748,0.3690337601862631,2.4069438570772235,2.51314354912749,2.333224641464004,2.3612048534771195,1.413922024721567
consumed,67#33,MC_OFF,BC,1,9079,0.44399466808866084,-0.08361875093925968,0.4720750535918544,0.9160697216805155,0.27833461835003853,-0.3766022966328675,0.638877259191181,-0.374836017375731,0.6363841843669394,0.10526159196256947
consumed,67#33,MC_OFF,BC,2,6118,0.3420683005196945,-0.08033416750245045,0.41289353202329293,0.7549618325429873,0.21690094802222948,0.029036784580481173,0.6121957081245346,0.03525052303499395,0.6029485718114287,0.22405482750525468
consumed,67#33,MC_OFF,BC,3,6181,0.30458092328382247,-0.05771541634720262,0.36955204091841815,0.6741329642022406,0.19592298980747452,0.3415266356524567,0.7644180025990132,0.3539107643878982,0.7430744321427668,0.35113438485300436
consumed,67#33,MC_OFF,BC,4,5187,0.39772173463614374,-0.021295567067313725,0.35187215815033773,0.7495938927864815,0.17890881048775786,0.8477318691265923,1.1128226901042686,0.8636363952288237,1.0596182076674179,0.5838377611658419
consumed,67#33,MC_OFF,BC,5,7035,0.5931485922361951,0.02936135319352522,0.29827784491349085,0.8914264371496858,0.1466950959488273,2.3453297758136706,2.462930989060933,2.275013924717139,2.3143510041819657,1.3328070560531518
consumed,67#33,MC_OFF,AC,1,9079,0.15888857167681716,0.07197815538802389,0.4720750535918544,0.6309636252686716,0.27833461835003853,-0.3766022966328675,0.638877259191181,-0.374836017375731,0.6363841843669394,0.10526159196256947
consumed,67#33,MC_OFF,AC,2,6118,0.15687023553602875,0.060742861427892494,0.41289353202329293,0.5697637675593217,0.21690094802222948,0.029036784580481173,0.6121957081245346,0.03525052303499395,0.6029485718114287,0.22405482750525468
consumed,67#33,MC_OFF,AC,3,6181,0.12865304029774768,0.0330543307946707,0.36955204091841815,0.4982050812161658,0.19592298980747452,0.3415266356524567,0.7644180025990132,0.3539107643878982,0.7430744321427668,0.35113438485300436
consumed,67#33,MC_OFF,AC,4,5187,0.15104675569038642,0.017131207371100035,0.35187215815033773,0.5029189138407241,0.17890881048775786,0.8477318691265923,1.1128226901042686,0.8636363952288237,1.0596182076674179,0.5838377611658419
consumed,67#33,MC_OFF,AC,5,7035,0.15235288702238073,-3.101781155884787e-05,0.29827784491349085,0.4506307319358716,0.1466950959488273,2.3453297758136706,2.462930989060933,2.275013924717139,2.3143510041819657,1.3328070560531518
consumed,67#34,PC_ON,BC,1,8939,0.2872327801066096,0.24674221984428496,0.29262732282738263,0.5798601029339923,0.1301040384830518,-0.3964587119713918,0.6614120461739718,-0.39519289979227157,0.6596724878359691,0.09259193913981408
consumed,67#34,PC_ON,BC,2,5663,0.24893863155833038,0.17483750090136863,0.36256545686155744,0.6115040884198878,0.17411266113367474,0.019109320416604774,0.6242233545719289,0.02459999962706301,0.6139996793756614,0.20368207356519988
consumed,67#34,PC_ON,BC,3,6538,0.23785847036771593,0.15005343297292165,0.41114635190372173,0.6490048222714376,0.19241358213520954,0.3495604903007936,0.773138101866805,0.3660121354911876,0.7505648198417219,0.3134302020092434
consumed,67#34,PC_ON,BC,4,6251,0.2980767632324068,0.11927263205114413,0.43082298782624523,0.7288997510586519,0.22476403775395937,0.8185914194898408,1.117600776524329,0.8364345193407955,1.0511420619610958,0.5139400810075336
consumed,67#34,PC_ON,BC,5,6209,0.47773390077048056,0.10200811463311348,0.4861632312336592,0.9638971320041397,0.2897406989853439,2.396185631406167,2.5343039570938632,2.3315209440010323,2.367457252427947,1.3674891532277225
consumed,67#34,PC_ON,AC,1,8939,0.06635265813651203,-0.08758755376944749,0.29262732282738263,0.3589799809638948,0.1301040384830518,-0.3964587119713918,0.6614120461739718,-0.39519289979227157,0.6596724878359691,0.09259193913981408
consumed,67#34,PC_ON,AC,2,5663,0.13367602996097022,-0.08077356442023803,0.36256545686155744,0.4962414868225277,0.17411266113367474,0.019109320416604774,0.6242233545719289,0.02459999962706301,0.6139996793756614,0.20368207356519988
consumed,67#34,PC_ON,AC,3,6538,0.17746068035540433,-0.07893360093550932,0.41114635190372173,0.5886070322591261,0.19241358213520954,0.3495604903007936,0.773138101866805,0.3660121354911876,0.7505648198417219,0.3134302020092434
consumed,67#34,PC_ON,AC,4,6251,0.18755740004677238,-0.06809759643785429,0.43082298782624523,0.6183803878730175,0.22476403775395937,0.8185914194898408,1.117600776524329,0.8364345193407955,1.0511420619610958,0.5139400810075336
consumed,67#34,PC_ON,AC,5,6209,0.26246965361958535,-0.03667058771123759,0.4861632312336592,0.7486328848532446,0.2897406989853439,2.396185631406167,2.5343039570938632,2.3315209440010323,2.367457252427947,1.3674891532277225
consumed,68#3,MC_OFF,BC,1,9947,0.43469849551380946,-0.040996341366001804,0.5742724306781096,1.008970926191919,0.3819241982507289,-0.337619471888408,0.6279023171136887,-0.3353324604406627,0.6252197392772995,0.11425329068548942
consumed,68#3,MC_OFF,BC,2,6328,0.32483559676725204,-0.07692628809887636,0.49354527574885415,0.8183808725161063,0.3106826801517067,0.04682183780359161,0.5983476127605768,0.05457636609524832,0.5866644949292132,0.2492930768308957
consumed,68#3,MC_OFF,BC,3,4830,0.32948677069491766,-0.05522290208156905,0.4950056756627498,0.8244924463576675,0.3022774327122153,0.28757562244078,0.6848450349236372,0.301558664967215,0.6622738530516414,0.37614812020247085
consumed,68#3,MC_OFF,BC,4,6419,0.4477110373287172,-0.002150081417475136,0.44374932682982343,0.8914603641585407,0.2696681726125565,0.9329021141097613,1.1898465890666605,0.9520497734022201,1.1395959475920738,0.6087862863076177
consumed,68#3,MC_OFF,BC,5,6076,0.7668413828066287,0.10532471681890412,0.3972182075229051,1.1640595903295337,0.21593153390388414,2.5110925999753695,2.6086719961482254,2.387059817566441,2.415234040997461,1.3829275684891775
consumed,68#3,MC_OFF,AC,1,9947,0.1775334109984509,0.10602894458712493,0.5742724306781096,0.7518058416765604,0.3819241982507289,-0.337619471888408,0.6279023171136887,-0.3353324604406627,0.6252197392772995,0.11425329068548942
consumed,68#3,MC_OFF,AC,2,6328,0.20250777257023692,0.10166612410074627,0.49354527574885415,0.6960530483190912,0.3106826801517067,0.04682183780359161,0.5983476127605768,0.05457636609524832,0.5866644949292132,0.2492930768308957
