split,cell_id,group,pathway,matching_feature,stratum,low_bins,high_bins,overlap_mass,weight,E,Q1_U,Q5_U,Q1_LSC,Q5_LSC,Q1_C,Q5_C,Q1_R,Q5_R
consumed,67#26,PC_ON,BC,LSC,1,6531,0,0,0.0,,0.6773891460013539,,0.0246574804125259,,-0.6353822422883959,,-0.6325371551835687,
consumed,67#26,PC_ON,BC,LSC,2,1757,0,0,0.0,,0.44266024558840644,,0.11639351581338363,,-0.13887194430567343,,-0.13721559742698736,
consumed,67#26,PC_ON,BC,LSC,3,791,35,35,0.05813953488372093,0.06922100334855147,0.3602717048691898,0.35148366179317236,0.2224917172472824,0.2884880272093974,0.07291128840139065,0.2690429848060012,0.0739560341586628,0.059607827354921025
consumed,67#26,PC_ON,BC,LSC,4,399,1379,399,0.6627906976744186,-0.0433635031471408,1.0155222004707882,1.0147476164028426,0.46702488177582774,0.5409015492469157,0.8819636663654309,0.7960549124001246,0.8817090574261863,0.7052397457080052
consumed,67#26,PC_ON,BC,LSC,5,168,4599,168,0.27906976744186046,0.046835140730399516,2.794173237570794,2.9788852510809556,1.4027913634947704,1.6842602342437392,2.794173237570794,2.90623552597029,2.794155728060408,2.838675339385583
consumed,67#26,PC_ON,AC,U,1,1253,665,665,0.24173027989821882,-0.0323208290597181,0.11864312764037045,0.12653086596180832,0.15085891403172533,0.9756309658144904,-0.02159611623132323,0.02866526592290029,-0.0209196725459008,0.5276858866285645
consumed,67#26,PC_ON,AC,U,2,1694,735,735,0.26717557251908397,0.09557676266388658,0.3569937564297145,0.35725503867846875,0.14694233565650644,1.0253153548988172,-0.21515672146411846,0.044708785921157825,-0.2153516256116858,0.5477899878680805
consumed,67#26,PC_ON,AC,U,3,1113,420,420,0.15267175572519084,0.03077388253385563,0.5695752548507809,0.5591028483219755,0.10023115801336657,0.9923721857860162,-0.3892458126068982,0.14139825659571215,-0.3861637807130131,0.5746178826032671
consumed,67#26,PC_ON,AC,U,4,5285,630,630,0.22900763358778625,0.1644306521748562,0.7675058178041154,0.8264732746334955,0.03085295438093389,1.114558037551205,-0.6826253853925807,0.5592658143625077,-0.6791429712563531,0.836883597782758
consumed,67#26,PC_ON,AC,U,5,301,3563,301,0.10941475826972011,-0.08629796233916748,3.049033808690864,3.931884738225088,0.833829097809344,1.678513576998633,3.049033808690864,3.931884738225088,3.048572187950878,3.5104032658252913
consumed,67#26,PC_ON,AC,LSC,1,6531,0,0,0.0,,0.6773891460013539,,0.0246574804125259,,-0.6353822422883959,,-0.6325371551835687,
consumed,67#26,PC_ON,AC,LSC,2,1757,0,0,0.0,,0.44266024558840644,,0.11639351581338363,,-0.13887194430567343,,-0.13721559742698736,
consumed,67#26,PC_ON,AC,LSC,3,791,35,35,0.05813953488372093,0.0852070412493471,0.3602717048691898,0.35148366179317236,0.2224917172472824,0.2884880272093974,0.07291128840139065,0.2690429848060012,0.0739560341586628,0.059607827354921025
consumed,67#26,PC_ON,AC,LSC,4,399,1379,399,0.6627906976744186,-0.022747856776942313,1.0155222004707882,1.0147476164028426,0.46702488177582774,0.5409015492469157,0.8819636663654309,0.7960549124001246,0.8817090574261863,0.7052397457080052
consumed,67#26,PC_ON,AC,LSC,5,168,4599,168,0.27906976744186046,-0.030830917679322944,2.794173237570794,2.9788852510809556,1.4027913634947704,1.6842602342437392,2.794173237570794,2.90623552597029,2.794155728060408,2.838675339385583
consumed,67#33,MC_OFF,BC,U,1,1267,959,959,0.2860125260960334,-0.03801905840007613,0.12134845866565239,0.12341051418300257,0.17473547849469742,0.8018580677598597,-0.04344471640927809,0.028755607468290183,-0.0431459986978437,0.42349584245867544
consumed,67#33,MC_OFF,BC,U,2,1519,826,826,0.24634655532359082,0.009776816860386478,0.3551096113244166,0.34957383216212706,0.12677129724316824,0.8640367262293672,-0.23329489410035142,0.026637113720012866,-0.23227960529721656,0.4139448274358409
consumed,67#33,MC_OFF,BC,U,3,973,399,399,0.11899791231732777,-0.2145482480600847,0.560218574757949,0.5378945388829156,0.11119196944075553,0.9969481867413271,-0.3673871548779363,0.052784508404836644,-0.3661518217781873,0.521898445645008
consumed,67#33,MC_OFF,BC,U,4,4949,798,798,0.23799582463465555,-0.32792691446296757,0.7614328076271935,0.7746802044956814,0.03475288698338927,1.069612160929714,-0.6963160539267894,0.42850746256442285,-0.6933782954900786,0.6708152319320984
consumed,67#33,MC_OFF,BC,U,5,371,4053,371,0.11064718162839249,0.6979880163057667,2.1395768228547105,3.969110810603112,0.704939939936295,1.638857287331621,2.1395768228547105,3.969110810603112,2.135195164455399,3.580834933410073
consumed,67#33,MC_OFF,BC,LSC,1,6223,0,0,0.0,,0.6857493015909025,,0.025777830890088605,,-0.6148954020947791,,-0.6125656472955974,
consumed,67#33,MC_OFF,BC,LSC,2,1687,0,0,0.0,,0.38867697433911624,,0.12549037150318865,,-0.16515856108135385,,-0.16437312914949423,
consumed,67#33,MC_OFF,BC,LSC,3,623,273,273,0.3333333333333333,0.08753042868826351,0.2856877529429889,0.8457332278055568,0.25086510619774344,0.30561753442219675,0.04468550187825968,0.664499823042514,0.04655077271079447,0.5279282034619085
consumed,67#33,MC_OFF,BC,LSC,4,364,1771,364,0.4444444444444444,-0.013936917078423816,0.8150035306882975,1.4196985863947278,0.49082290035773884,0.5268012550543906,0.703975960585432,1.202296273445452,0.7030361220572102,1.1602618206926252
consumed,67#33,MC_OFF,BC,LSC,5,182,4991,182,0.2222222222222222,0.539841055672424,2.2121204474309573,2.921568451281844,1.3659549350651456,1.6749947965809135,2.208011051247237,2.8428611141828632,2.2046758813944374,2.766134016508381
consumed,67#33,MC_OFF,AC,U,1,1267,959,959,0.2860125260960334,-0.011516396035144094,0.12134845866565239,0.12341051418300257,0.17473547849469742,0.8018580677598597,-0.04344471640927809,0.028755607468290183,-0.0431459986978437,0.42349584245867544
