cell_id,group,probe,mode,channel,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
67#14,PC_ON,slow_step,direct_BC_off,logit,-0.38971781730651855,0.38971781730651855,580.0,280.0,-0.3760736584663391,-0.20122361183166504,0.0007558166980743408,-0.02260129153728485,0.012850329279899597,-0.02260129153728485,-0.36634328961372375,0.44006723165512085,-0.45303237438201904,0.45303237438201904,-0.8991350531578064
67#14,PC_ON,slow_1Hz,direct_BC_off,logit,-0.38971996307373047,0.38971996307373047,1580.0,1280.0,-0.3761560022830963,-0.20122575759887695,0.0006734728813171387,-0.02260129153728485,0.012864872813224792,-0.02260129153728485,-0.3663572371006012,0.4401521682739258,-0.4530353546142578,0.4530353546142578,-0.8993049263954163
67#14,PC_ON,slow_2Hz,direct_BC_off,logit,-0.38971686363220215,0.38971686363220215,573.3333333333334,273.33333333333337,-0.3763197958469391,-0.20122265815734863,0.0005096793174743652,-0.02260129153728485,0.012993529438972473,-0.02260129153728485,-0.3710249364376068,0.44032013416290283,-0.45310020446777344,0.45310020446777344,-0.8996420502662659
67#14,PC_ON,rapid_10Hz,direct_BC_off,logit,-0.2979745864868164,0.2979745864868164,580.0,280.0,-0.3768002390861511,-0.10948038101196289,2.92360782623291e-05,-0.02260129153728485,-0.1057770848274231,-0.02260129153728485,-0.24135206639766693,0.44082871079444885,-0.45352065563201904,0.45352065563201904,-0.9005827307701111
67#14,PC_ON,rapid_20Hz,direct_BC_off,logit,-0.22555124759674072,0.22555124759674072,560.0,260.0,-0.37682637572288513,-0.03705704212188721,3.0994415283203125e-06,-0.02260129153728485,-0.1655578464269638,-0.02260129153728485,-0.10393333435058594,0.44088542461395264,-0.4524097442626953,0.4524097442626953,-0.9006252288818359
67#14,PC_ON,transient_50ms,direct_BC_off,logit,-0.29665589332580566,0.29665589332580566,386.6666666666667,86.66666666666669,-0.376828670501709,-0.10816168785095215,8.046627044677734e-07,-0.02260129153728485,-0.17747172713279724,-0.02260129153728485,-0.25071388483047485,0.440894216299057,-0.4524282217025757,0.4524282217025757,-0.9006034731864929
67#14,PC_ON,large_field_50ms,direct_BC_off,logit,-0.28627681732177734,0.28627681732177734,380.0,80.0,0.0,-0.14630842208862305,-7.947286162490741e-10,-0.022592484951019287,-0.24044962227344513,-0.022592484951019287,-0.24044962227344513,0.022297075018286705,-0.3741081953048706,0.3741081953048706,-7.947286162490741e-10
67#14,PC_ON,slow_step,direct_BC_off,probability,-0.043375998735427856,0.043375998735427856,580.0,280.0,-0.04182345047593117,-0.020826339721679688,0.0033040009438991547,-0.0028076786547899246,0.0016505531966686249,-0.0028076786547899246,-0.04106464982032776,0.057900168001651764,-0.06796911358833313,0.06796911358833313,-0.11854765564203262
67#14,PC_ON,slow_1Hz,direct_BC_off,probability,-0.04337620735168457,0.04337620735168457,1580.0,1280.0,-0.04203828424215317,-0.0208265483379364,0.0030891671776771545,-0.0028076786547899246,0.0016524288803339005,-0.0028076786547899246,-0.0410660021007061,0.05789335072040558,-0.06796915829181671,0.06796915829181671,-0.11853406578302383
67#14,PC_ON,slow_2Hz,direct_BC_off,probability,-0.04337590932846069,0.04337590932846069,573.3333333333334,273.33333333333337,-0.042474690824747086,-0.020826250314712524,0.0026527605950832367,-0.0028076786547899246,0.0016690287739038467,-0.0028076786547899246,-0.041541289538145065,0.057878583669662476,-0.06797048449516296,0.06797048449516296,-0.11850493401288986
67#14,PC_ON,rapid_10Hz,direct_BC_off,probability,-0.034277789294719696,0.034277789294719696,580.0,280.0,-0.0446273498237133,-0.011728130280971527,0.0005001015961170197,-0.0028076786547899246,-0.012894004583358765,-0.0028076786547899246,-0.028258468955755234,0.0579160638153553,-0.06418634951114655,0.06418634951114655,-0.1183442622423172
67#14,PC_ON,rapid_20Hz,direct_BC_off,probability,-0.026628360152244568,0.026628360152244568,560.0,260.0,-0.04506140947341919,-0.004078701138496399,6.604194641113281e-05,-0.0028076786547899246,-0.01985875517129898,-0.0028076786547899246,-0.01262475736439228,0.05796955153346062,-0.06119029223918915,0.06119029223918915,-0.11834663897752762
67#14,PC_ON,transient_50ms,direct_BC_off,probability,-0.03414224088191986,0.03414224088191986,386.6666666666667,86.66666666666669,-0.04508361220359802,-0.011592581868171692,4.3839216232299805e-05,-0.0028076786547899246,-0.02130131982266903,-0.0028076786547899246,-0.02923746220767498,0.05802270397543907,-0.06565132737159729,0.06565132737159729,-0.11844569444656372
67#14,PC_ON,large_field_50ms,direct_BC_off,probability,0.040368229150772095,0.040368229150772095,1380.0,1080.0,0.00032902922248467803,0.02158290147781372,0.0002501729686628096,-0.0028066355735063553,-0.028163015842437744,-0.0028066355735063553,-0.028163015842437744,0.0028566331602633,0.04844692349433899,0.04844692349433899,0.00013155158376321197
