group,probe,mode,channel,n_cells,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
MC_OFF,slow_2Hz,direct_BC_off,logit,4,-0.3312457352876663,0.3312457352876663,485.0,185.00000000000003,-0.35392066091299057,-0.1538669764995575,0.0003207176923751831,-0.021888062357902527,-0.021463768556714058,-0.021888062357902527,-0.31472908705472946,0.407059408724308,-0.4247458577156067,0.4247458577156067,-0.8299008160829544
MC_OFF,rapid_10Hz,direct_BC_off,logit,4,-0.2887752801179886,0.2887752801179886,480.0,180.0,-0.3542114943265915,-0.11139652132987976,2.9884278774261475e-05,-0.021888062357902527,-0.09175734594464302,-0.021888062357902527,-0.23999539762735367,0.40752673894166946,-0.4227166473865509,0.4227166473865509,-0.8305017203092575
MC_OFF,rapid_20Hz,direct_BC_off,logit,4,-0.21907220780849457,0.21907220780849457,498.33333333333337,198.33333333333334,-0.35423797369003296,-0.04169344902038574,3.4049153327941895e-06,-0.021887067705392838,-0.1547224409878254,-0.021887067705392838,-0.10774292796850204,0.4076601043343544,-0.4190041273832321,0.4190041273832321,-0.8305495232343674
MC_OFF,transient_50ms,direct_BC_off,logit,4,-0.2889925092458725,0.2889925092458725,383.33333333333337,83.33333333333334,-0.35424092411994934,-0.11161375045776367,4.544854164123535e-07,-0.021888062357902527,-0.1655149608850479,-0.021888062357902527,-0.24812205135822296,0.40770862251520157,-0.422919437289238,0.422919437289238,-0.8305365890264511
MC_OFF,large_field_50ms,direct_BC_off,logit,4,-0.275286540389061,0.275286540389061,378.33333333333337,78.33333333333334,4.967053851556713e-10,-0.1238844096660614,-9.934107703113426e-11,-0.02188348025083542,-0.23302628844976425,-0.02188348025083542,-0.23302628844976425,0.019530963618308306,-0.36519402265548706,0.36519402265548706,6.95387525340152e-10
MC_OFF,slow_step,direct_BC_off,probability,4,-0.051420021802186966,0.051420021802186966,485.0,185.00000000000003,-0.055162666365504265,-0.02270476147532463,0.002221161499619484,-0.0037370678037405014,-0.0034829438664019108,-0.0037370678037405014,-0.048321280628442764,0.06963785458356142,-0.0788332037627697,0.0788332037627697,-0.14216220751404762
MC_OFF,slow_1Hz,direct_BC_off,probability,4,-0.051420021802186966,0.051420021802186966,485.0,185.00000000000003,-0.055260839872062206,-0.02270476147532463,0.0021229879930615425,-0.0037370678037405014,-0.0034813531674444675,-0.0037370678037405014,-0.0483227139338851,0.06964308675378561,-0.07883341610431671,0.07883341610431671,-0.14217269234359264
MC_OFF,slow_2Hz,direct_BC_off,probability,4,-0.051420021802186966,0.051420021802186966,485.0,185.00000000000003,-0.055462611839175224,-0.02270476147532463,0.0019212160259485245,-0.0037370678037405014,-0.003449530340731144,-0.0037370678037405014,-0.04898284841328859,0.06965288240462542,-0.07883797958493233,0.07883797958493233,-0.14219289273023605
MC_OFF,rapid_10Hz,direct_BC_off,probability,4,-0.045229747891426086,0.045229747891426086,480.0,180.0,-0.0567900687456131,-0.01651448756456375,0.0005937591195106506,-0.0037370678037405014,-0.014977093320339918,-0.0037370678037405014,-0.03808681387454271,0.06977116037160158,-0.0768631212413311,0.0768631212413311,-0.14224087074398994
MC_OFF,rapid_20Hz,direct_BC_off,probability,4,-0.03497887775301933,0.03497887775301933,498.33333333333337,198.33333333333334,-0.05729302391409874,-0.006263617426156998,9.080395102500916e-05,-0.0037368768826127052,-0.024990179110318422,-0.0037368768826127052,-0.017607808113098145,0.06985113862901926,-0.07344624772667885,0.07344624772667885,-0.14227506145834923
MC_OFF,transient_50ms,direct_BC_off,probability,4,-0.04523726552724838,0.04523726552724838,383.33333333333337,83.33333333333334,-0.05734179727733135,-0.016522005200386047,4.2030587792396545e-05,-0.0037370678037405014,-0.026820129714906216,-0.0037370678037405014,-0.039318086579442024,0.0698927566409111,-0.07760437950491905,0.07760437950491905,-0.14234833605587482
MC_OFF,large_field_50ms,direct_BC_off,probability,4,0.05028493329882622,0.05028493329882622,1378.3333333333335,1078.3333333333335,0.0002865894930437207,0.023563604801893234,0.0001983023958018748,-0.0037363041192293167,-0.037070180755108595,-0.0037363041192293167,-0.037070180755108595,0.003286859137006104,0.027966253459453583,0.06335455179214478,1.2926939234603196e-05
MC_OFF,slow_step,AC_off,logit,4,0.4244067966938019,0.4244067966938019,1478.3333333333335,1178.3333333333335,0.8288912624120712,0.007732287049293518,4.023313522338867e-07,0.14807609096169472,0.2761049196124077,0.14807609096169472,0.4051830768585205,0.17581775411963463,0.33075378835201263,0.33075378835201263,0.3530585318803787
