cell_id,family,mode_A,mode_B,cosine,relative_l2,norm_A,norm_B,rmse
69#21,sustained,0,2,0.996299007659842,0.08597804881990079,0.9817365156985228,0.9761550327655357,0.02110194751875172
69#21,sustained,1,2,0.9999937705182695,0.0035437374866743626,0.9758538329511188,0.9761550327655357,0.0008645424523359352
69#21,transient,0,1,0.9999836084482047,0.005767235038639669,0.9472635966324239,0.9479030973803224,0.0013657729513315872
69#21,transient,0,2,0.9932002651548544,0.11798523906415496,0.9472635966324239,0.9589764190451623,0.02794078047636195
69#21,transient,1,2,0.9938478446585257,0.11218072769781377,0.9479030973803224,0.9589764190451623,0.02658411481278405
70#1,sustained,0,1,0.8019486968345032,0.5974060494319652,0.9802178184137108,0.7899683724857834,0.1463970136203386
70#1,sustained,0,2,0.7730755522129776,0.6343155319910676,0.9802178184137108,0.7563949626240416,0.15544184673855416
70#1,sustained,1,2,0.9987470599522639,0.06485063226899354,0.7899683724857834,0.7563949626240416,0.012807487107052715
70#1,transient,0,1,0.9999994955823069,0.0010044862753446793,0.9940017807612415,0.9940137558024503,0.00024961528661070946
70#1,transient,0,2,0.9999972941617387,0.002326500477265632,0.9940017807612415,0.9940294898880123,0.0005781364043359791
70#1,transient,1,2,0.9999991262976174,0.001321999613010413,0.9940137558024503,0.9940294898880123,0.00032852145012446664
70#7,sustained,0,1,0.8920696215932816,0.4519276034167075,0.9840976449420864,0.8829751660055227,0.11118522255167576
70#7,sustained,0,2,0.8116567987249861,0.5841412960411869,0.9840976449420864,0.8015002083329408,0.14371301843688752
70#7,sustained,1,2,0.9869682959094295,0.17936777854979635,0.8829751660055227,0.8015002083329408,0.03959432351026207
70#7,transient,0,1,0.9997326603790293,0.02324333030959209,0.9567871613782649,0.9588045508347183,0.005559730006973001
70#7,transient,0,2,0.9985638217229849,0.05393161615189611,0.9567871613782649,0.9613362659990013,0.012900269481628715
70#7,transient,1,2,0.9995352276956678,0.03064263790865804,0.9588045508347183,0.9613362659990013,0.007345075169100446
70#15,sustained,0,1,0.8749305162094718,0.4847365778024123,0.9852331794087501,0.8834370301706397,0.11939463993099692
70#15,sustained,0,2,0.7953343329695169,0.6066337945841752,0.9852331794087501,0.8069309006018216,0.1494189355437404
70#15,sustained,1,2,0.9883260416495128,0.16978112086435837,0.8834370301706397,0.8069309006018216,0.037497732298862795
70#15,transient,0,1,0.9870285868063629,0.1629432415780189,0.9516027403387121,0.9657665168823184,0.03876430880132889
70#15,transient,0,2,0.9856221927551032,0.17159385196146648,0.9516027403387121,0.9663983065387676,0.0408222949379517
70#15,transient,1,2,0.9999629095650094,0.008640448805494298,0.9657665168823184,0.9663983065387676,0.002086164036795554
70#34,sustained,0,1,0.8687518663670892,0.4957254286505538,0.9837771082223015,0.8760653769664214,0.12192083216752567
70#34,sustained,0,2,0.8159842130182066,0.5786708448149214,0.9837771082223015,0.8285917178847286,0.1423207825811449
70#34,sustained,1,2,0.9947106570701009,0.11376267769671806,0.8760653769664214,0.8285917178847286,0.024915885780271204
70#34,transient,0,1,0.9996514954000586,0.02682388397196773,0.9229521540770408,0.9270213683429258,0.006189290373160056
70#34,transient,0,2,0.996595577437004,0.08408372222865071,0.9229521540770408,0.9350546039135171,0.019401313138437182
70#34,transient,1,2,0.9984224171611167,0.05707539374490284,0.9270213683429258,0.9350546039135171,0.013227527402027775
