cohort,cell_id,fit,quantity,mode,effective_value,lower_bound,upper_bound,u,active_lower_bound,active_u,boundary,unit,median_zero,median_aligned,median_abs_change,median_relative_change,increase_count,decrease_count,rank_correlation,minimum,maximum,range,sample_SD,CV,NLL_spread
alignment_value,67#6,zero,BC_effective_weights,10,0.15991051495075226,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,11,0.014251794666051865,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,AC_effective_gates,0,0.093227818608284,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,AC_effective_gates,1,0.906772255897522,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,cell_BC_gains,0,0.801532506942749,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,cell_AC_gains,0,0.8618729114532471,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,history_gate,0,0.0,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,tau_H1,0,13.610454559326172,10.0,200.0,0.01900239241750617,10.0,0.01900239241750617,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,tau_BC_sustained_basis,0,27.00485610961914,20.0,200.0,0.03891586727566189,20.0,0.03891586727566189,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,tau_BC_sustained_basis,1,63.458560943603516,20.0,200.0,0.2414364496866862,20.0,0.2414364496866862,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,tau_BC_sustained_basis,2,164.02774047851562,20.0,200.0,0.8001541137695313,20.0,0.8001541137695313,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,tau_BC_transient_basis,0,6.13180685043335,5.0,120.0,0.009841798699420432,5.0,0.009841798699420432,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,tau_BC_transient_basis,1,6.828492641448975,5.0,120.0,0.01589993601259978,5.0,0.01589993601259978,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,tau_BC_transient_basis,2,9.643791198730469,5.0,120.0,0.040380793032438855,5.0,0.040380793032438855,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,tau_AC_local_state,0,25.710908889770508,20.0,250.0,0.024830038651176122,20.0,0.024830038651176122,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,tau_AC_transient_state,0,15.521209716796875,15.0,180.0,0.0031588467684659093,15.0,0.0031588467684659093,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,delay_H1,0,19.700210571289062,0.0,20.0,0.9850105285644531,0.0,0.9850105285644531,upper,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,delay_BC_sustained,0,16.794132232666016,0.0,30.0,0.5598044077555339,15.217832326889038,0.10663523379215191,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,delay_BC_transient,0,15.217828750610352,0.0,20.0,0.7608914375305176,0.0,0.7608914375305176,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,delay_AC_local_downstream,0,16.278934478759766,0.0,40.0,0.40697336196899414,14.151442527770996,0.08230602242598992,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,delay_AC_transient_downstream,0,14.151437759399414,0.0,25.0,0.5660575103759765,0.0,0.5660575103759765,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,H1_effective_amplitude,0,0.1865229606628418,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,0,0.010437318123877048,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,1,0.010429905727505684,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,2,0.010795322246849537,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,3,0.010702857747673988,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,4,0.010456068441271782,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,5,0.01069349143654108,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,6,0.3011326789855957,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,7,0.2124853879213333,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,8,0.023316940292716026,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,9,0.22390761971473694,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,10,0.15513795614242554,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,BC_effective_weights,11,0.020504401996731758,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,AC_effective_gates,0,0.060765016824007034,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,AC_effective_gates,1,0.9392349720001221,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,cell_BC_gains,0,1.2502365112304688,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,cell_AC_gains,0,1.193703293800354,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,history_gate,0,0.0,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,aligned,tau_H1,0,10.243608474731445,10.0,200.0,0.001282149867007607,10.0,0.001282149867007607,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,tau_BC_sustained_basis,0,25.31662368774414,20.0,200.0,0.029536798265245225,20.0,0.029536798265245225,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,tau_BC_sustained_basis,1,33.66104507446289,20.0,200.0,0.07589469485812717,20.0,0.07589469485812717,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,tau_BC_sustained_basis,2,149.40557861328125,20.0,200.0,0.7189198811848958,20.0,0.7189198811848958,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,tau_BC_transient_basis,0,5.703717231750488,5.0,120.0,0.006119280276091202,5.0,0.006119280276091202,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,tau_BC_transient_basis,1,6.2537126541137695,5.0,120.0,0.010901849166206692,5.0,0.010901849166206692,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,tau_BC_transient_basis,2,7.890578746795654,5.0,120.0,0.025135467363440474,5.0,0.025135467363440474,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,tau_AC_local_state,0,26.49457550048828,20.0,250.0,0.028237284784731656,20.0,0.028237284784731656,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,tau_AC_transient_state,0,15.222854614257812,15.0,180.0,0.0013506340258049242,15.0,0.0013506340258049242,lower,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,delay_H1,0,13.259459495544434,0.0,20.0,0.6629729747772217,0.0,0.6629729747772217,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,delay_BC_sustained,0,15.428804397583008,0.0,30.0,0.5142934799194336,14.402226209640503,0.06581568637551348,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,delay_BC_transient,0,14.402222633361816,0.0,20.0,0.7201111316680908,0.0,0.7201111316680908,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,delay_AC_local_downstream,0,18.459918975830078,0.0,40.0,0.46149797439575196,16.333718299865723,0.08984092655130915,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,aligned,delay_AC_transient_downstream,0,16.33371353149414,0.0,25.0,0.6533485412597656,0.0,0.6533485412597656,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,H1_effective_amplitude,0,0.07437346875667572,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,0,0.023353928700089455,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,1,0.01956171542406082,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,2,0.018514787778258324,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,3,0.022794317454099655,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,4,0.01931683160364628,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,5,0.01870177872478962,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,6,0.17986005544662476,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,7,0.2563205063343048,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,8,0.07108908891677856,,,,,,,,,,,,,,,,,,,,
