cell_id,group,pathway,mean_abs_delta_logit,signed_delta_logit,delta_nll,protocol_sha256
69#4,MC_ON,H1,0.014713115158180396,-0.004247152817746003,0.0007998943328857422,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#6,MC_OFF,H1,0.11119051996618509,-0.0158531770731012,0.003972053527832031,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#7,MC_ON,H1,0.1600201490521431,-0.025455407798290253,0.014669179916381836,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#21,PC_OFF,H1,0.11508364342153073,-0.0588364311804374,0.0048798322677612305,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#1,PC_ON,H1,0.0859900858749946,-0.013750987226764362,0.003839254379272461,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#7,PC_ON,H1,0.0385990616359881,0.00872864557164056,0.0009076297283172607,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#15,PC_ON,H1,0.014743698491818375,0.004301642121540175,0.0002090930938720703,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#34,MC_ON,H1,0.06170923868815104,-0.004151287724574407,0.004134625196456909,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#4,PC_OFF,direct-BC,1.9127137635772427,1.1664438270156583,0.5059501528739929,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#6,MC_OFF,direct-BC,1.8496594570328793,1.0444478776554267,0.46144694089889526,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#7,MC_ON,direct-BC,1.6360872937118014,-0.9649410327896476,0.28487932682037354,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#14,PC_ON,direct-BC,1.587582201200227,-0.9559194063022732,0.45506641268730164,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#21,PC_ON,direct-BC,1.4074264966944854,-0.8606286866466204,0.2506646513938904,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#26,PC_ON,direct-BC,1.245457863648023,-0.7577834152891523,0.31289514899253845,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#33,MC_OFF,direct-BC,2.26971329053243,1.2907339823494355,0.4310534596443176,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#34,PC_ON,direct-BC,1.3207888655985396,-0.7967576754962404,0.3233881890773773,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#3,MC_OFF,direct-BC,1.9321007294021546,1.0909722470554213,0.47055432200431824,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#4,PC_ON,direct-BC,1.085597851301233,-0.6987603145837784,0.07679766416549683,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#7,PC_ON,direct-BC,1.541429188599189,-0.9502708743264278,0.43692293763160706,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#10,MC_ON,direct-BC,1.5610980511829258,-0.8789594078188141,0.27661052346229553,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
