cell_id,group,recording_id,model,left_out_repeat,raw_Pearson,six_repeat_raw_Pearson,min,max,range,std,artifact_class,protocol_sha256
67#21,PC_ON,lSS01130,aligned,6,0.6312903446268234,0.6440645041983373,0.6232029646439594,0.6331124347656691,0.00990947012170973,0.0037238737421743436,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,LN,1,0.5832918909114071,0.5970749845672735,0.5779252535487486,0.5873297639177159,0.009404510368967278,0.0029516766479514207,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,LN,2,0.5801467379268587,0.5970749845672735,0.5779252535487486,0.5873297639177159,0.009404510368967278,0.0029516766479514207,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,LN,3,0.5814194316635112,0.5970749845672735,0.5779252535487486,0.5873297639177159,0.009404510368967278,0.0029516766479514207,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,LN,4,0.5873297639177159,0.5970749845672735,0.5779252535487486,0.5873297639177159,0.009404510368967278,0.0029516766479514207,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,LN,5,0.5779252535487486,0.5970749845672735,0.5779252535487486,0.5873297639177159,0.009404510368967278,0.0029516766479514207,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,LN,6,0.583503033144392,0.5970749845672735,0.5779252535487486,0.5873297639177159,0.009404510368967278,0.0029516766479514207,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,CNN,1,0.6748916809744449,0.688154427528182,0.6664061618995342,0.6760492870852296,0.009643125185695434,0.0036536286043820096,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,CNN,2,0.6664061618995342,0.688154427528182,0.6664061618995342,0.6760492870852296,0.009643125185695434,0.0036536286043820096,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,CNN,3,0.6669163040946328,0.688154427528182,0.6664061618995342,0.6760492870852296,0.009643125185695434,0.0036536286043820096,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
