cell_id,group,recording_id,model,contract,raw_Pearson,raw_Spearman,NCorr,FEV,Rel6,correlation_ceiling,normalization_status,FEV_status,NCorr_gap,FEV_gap,raw_correlation_gap,mean_predicted_probability,mean_repeat_occupancy,repeat_mean_variance,repeat_mean_noise_variance,signal_variance,MSE,MSE_signal,count_Rel6,extra_count_Rel6,multi_spike_bin_fraction,beyond_first_spike_fraction,event_rate_hz,artifact_class,protocol_sha256
68#11,PC_OFF,lSS01225,LN,STIMULUS_ONLY_ZERO_HISTORY,0.6096250275546988,0.6470082931649176,0.7320390524534468,0.46812582899530475,0.6935169437418301,0.8327766469719418,DEFINED,DEFINED,0.2679609475465532,0.5318741710046953,0.22315161941724293,0.12148108663371507,0.1673148148148148,0.054960999657064476,0.016871913580246915,0.03808908607681756,0.037130514661680734,0.02025860108143382,0.6943750403335376,0.24732627504159987,0.012546296296296297,0.06975546975546976,25.09722222222222,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#11,PC_OFF,lSS01225,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.6401482223030545,0.6496365104301278,0.7686913707663353,0.5513478130750081,0.6935169437418301,0.8327766469719418,DEFINED,DEFINED,0.2313086292336647,0.44865218692499187,0.1926284246688873,0.1285466776438311,0.1673148148148148,0.054960999657064476,0.016871913580246915,0.03808908607681756,0.03396066534658537,0.017088751766338457,0.6943750403335376,0.24732627504159987,0.012546296296296297,0.06975546975546976,25.09722222222222,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
69#3,PC_OFF,lSS01251,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.6725410679331043,0.7062890666480659,0.8157834286985362,0.6631222268710293,0.6796539732990736,0.824411288920205,DEFINED,DEFINED,0.18421657130146385,0.3368777731289707,0.15187022098710068,0.3290798717195384,0.31680555555555556,0.08312189429012345,0.02666358024691358,0.056458314043209876,0.04568313135640622,0.01901955110949264,0.6942800866203728,0.3931275157510987,0.028819444444444446,0.0841196546878137,47.520833333333336,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
69#3,PC_OFF,lSS01251,LN,STIMULUS_ONLY_ZERO_HISTORY,0.6541934904503239,0.6904026678737015,0.7935280596499007,0.6232764412877131,0.6796539732990736,0.824411288920205,DEFINED,DEFINED,0.2064719403500993,0.3767235587122869,0.17021779846988105,0.2974992456618997,0.31680555555555556,0.08312189429012345,0.02666358024691358,0.056458314043209876,0.047932757232167486,0.021269176985253907,0.6942800866203728,0.3931275157510987,0.028819444444444446,0.0841196546878137,47.520833333333336,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
69#3,PC_OFF,lSS01251,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.6341232643998762,0.651258265608567,0.769183140651114,0.5595987758395993,0.6796539732990736,0.824411288920205,DEFINED,DEFINED,0.23081685934888596,0.44040122416040073,0.19028802452032878,0.33151225284175023,0.31680555555555556,0.08312189429012345,0.02666358024691358,0.056458314043209876,0.051527890865575555,0.024864310618661976,0.6942800866203728,0.3931275157510987,0.028819444444444446,0.0841196546878137,47.520833333333336,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
69#4,MC_ON,lSS01254,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.5710111758967177,0.5898852029534227,0.6045331456492343,0.36436534736508264,0.8921728062352555,0.9445489962067904,DEFINED,DEFINED,0.3954668543507657,0.6356346526349174,0.37353782031007277,0.22816964392842287,0.21782407407407406,0.11066224065500686,0.011942901234567904,0.09871933942043896,0.07469233425542712,0.06274943302085922,0.9188284018784675,0.8721325772706401,0.07456018518518519,0.30316943127962087,32.673611111111114,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
69#4,MC_ON,lSS01254,LN,STIMULUS_ONLY_ZERO_HISTORY,0.5631137415776581,0.569870066963192,0.5961720819555828,0.32074253349310766,0.8921728062352555,0.9445489962067904,DEFINED,DEFINED,0.4038279180444172,0.6792574665068923,0.3814352546291323,0.15934207895161712,0.21782407407407406,0.11066224065500686,0.011942901234567904,0.09871933942043896,0.07899874962452925,0.06705584838996136,0.9188284018784675,0.8721325772706401,0.07456018518518519,0.30316943127962087,32.673611111111114,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
69#4,MC_ON,lSS01254,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.7036082543796085,0.6898126720645532,0.7449145117989912,0.533472786278179,0.8921728062352555,0.9445489962067904,DEFINED,DEFINED,0.25508548820100885,0.46652721372182104,0.24094074182718195,0.2433105781458721,0.21782407407407406,0.11066224065500686,0.011942901234567904,0.09871933942043896,0.057998159594844036,0.04605525836027613,0.9188284018784675,0.8721325772706401,0.07456018518518519,0.30316943127962087,32.673611111111114,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
69#6,MC_OFF,lSS01256,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.5892391544999543,0.6863412317873427,0.6490211260448531,0.4205187984986034,0.8242624737998409,0.9078890206406512,DEFINED,DEFINED,0.35097887395514693,0.5794812015013966,0.3186498661406969,0.22933167546394873,0.22321759259259258,0.0922302335176612,0.01623225308641976,0.07599798043124144,0.060271654098395175,0.04403940101197541,0.8520628954056915,0.7563409338277017,0.05761574074074074,0.22240141924038384,33.48263888888889,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
69#6,MC_OFF,lSS01256,LN,STIMULUS_ONLY_ZERO_HISTORY,0.5535715614127689,0.6106976771683227,0.6097348341343983,0.3315158075079453,0.8242624737998409,0.9078890206406512,DEFINED,DEFINED,0.39026516586560167,0.6684841924920547,0.3543174592278824,0.1679667086330458,0.22321759259259258,0.0922302335176612,0.01623225308641976,0.07599798043124144,0.06703570166602517,0.050803448579605406,0.8520628954056915,0.7563409338277017,0.05761574074074074,0.22240141924038384,33.48263888888889,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
