cell_id,recording_id,repeat,start_bin,stop_bin,reference,source_image_id,exact,reference_kind
67#6,lSS01078,1,300,450,production_60s,lSS01078-live-frames-000300-000449-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,300,450,production_60s,lSS01078-live-frames-000300-000449-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,300,450,production_60s,lSS01078-live-frames-000300-000449-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,300,450,production_60s,lSS01078-live-frames-000300-000449-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,300,450,production_60s,lSS01078-live-frames-000300-000449-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,300,450,production_60s,lSS01078-live-frames-000300-000449-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,450,600,production_60s,lSS01078-live-frames-000450-000599-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,450,600,production_60s,lSS01078-live-frames-000450-000599-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,450,600,production_60s,lSS01078-live-frames-000450-000599-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,450,600,production_60s,lSS01078-live-frames-000450-000599-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,450,600,production_60s,lSS01078-live-frames-000450-000599-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,450,600,production_60s,lSS01078-live-frames-000450-000599-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,600,750,production_60s,lSS01078-live-frames-000600-000749-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,600,750,production_60s,lSS01078-live-frames-000600-000749-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,600,750,production_60s,lSS01078-live-frames-000600-000749-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,600,750,production_60s,lSS01078-live-frames-000600-000749-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,600,750,production_60s,lSS01078-live-frames-000600-000749-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,600,750,production_60s,lSS01078-live-frames-000600-000749-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,750,900,production_60s,lSS01078-live-frames-000750-000899-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,750,900,production_60s,lSS01078-live-frames-000750-000899-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,750,900,production_60s,lSS01078-live-frames-000750-000899-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,750,900,production_60s,lSS01078-live-frames-000750-000899-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,750,900,production_60s,lSS01078-live-frames-000750-000899-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,750,900,production_60s,lSS01078-live-frames-000750-000899-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,900,1050,production_60s,lSS01078-live-frames-000900-001049-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,900,1050,production_60s,lSS01078-live-frames-000900-001049-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,900,1050,production_60s,lSS01078-live-frames-000900-001049-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,900,1050,production_60s,lSS01078-live-frames-000900-001049-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,900,1050,production_60s,lSS01078-live-frames-000900-001049-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,900,1050,production_60s,lSS01078-live-frames-000900-001049-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1050,1200,production_60s,lSS01078-live-frames-001050-001199-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1050,1200,production_60s,lSS01078-live-frames-001050-001199-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1050,1200,production_60s,lSS01078-live-frames-001050-001199-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1050,1200,production_60s,lSS01078-live-frames-001050-001199-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1050,1200,production_60s,lSS01078-live-frames-001050-001199-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1050,1200,production_60s,lSS01078-live-frames-001050-001199-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1200,1350,production_60s,lSS01078-live-frames-001200-001349-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1200,1350,production_60s,lSS01078-live-frames-001200-001349-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1200,1350,production_60s,lSS01078-live-frames-001200-001349-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1200,1350,production_60s,lSS01078-live-frames-001200-001349-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1200,1350,production_60s,lSS01078-live-frames-001200-001349-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1200,1350,production_60s,lSS01078-live-frames-001200-001349-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1350,1500,production_60s,lSS01078-live-frames-001350-001499-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1350,1500,production_60s,lSS01078-live-frames-001350-001499-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1350,1500,production_60s,lSS01078-live-frames-001350-001499-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1350,1500,production_60s,lSS01078-live-frames-001350-001499-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1350,1500,production_60s,lSS01078-live-frames-001350-001499-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1350,1500,production_60s,lSS01078-live-frames-001350-001499-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,1500,1650,production_60s,lSS01078-live-frames-001500-001649-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,1500,1650,production_60s,lSS01078-live-frames-001500-001649-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,1500,1650,production_60s,lSS01078-live-frames-001500-001649-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,1500,1650,production_60s,lSS01078-live-frames-001500-001649-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,1500,1650,production_60s,lSS01078-live-frames-001500-001649-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,1500,1650,production_60s,lSS01078-live-frames-001500-001649-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
