split,cell_id,group,quantile,bins,event_rate,local_mean,LSC,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
consumed,67#26,PC_ON,1,8057,0.17661660667742335,-0.6113846243351058,0.01462031463132484,0.41679255475934895,0.41820817234118707,0.3944078816619646,-0.0014156175818381463,0.022384673097384285
consumed,67#26,PC_ON,2,5754,0.23427181091414667,-0.09793274916620379,0.060142684507783484,0.48623952484814054,0.492195586209513,0.4925015440935591,-0.005956061361372392,-0.006262019245418458
consumed,67#26,PC_ON,3,6692,0.24148236700537956,0.17196959735847334,0.1288264620246975,0.5031181132921818,0.51118503406181,0.5113799157449049,-0.008066920769628224,-0.008261802452723014
consumed,67#26,PC_ON,4,6104,0.2621231979030144,0.7926718182274772,0.2811120154823581,0.5195874679353856,0.5213547634289427,0.5287585278593003,-0.0017672954935571078,-0.009171059923914881
consumed,67#26,PC_ON,5,6993,0.37494637494637495,2.696666885854642,1.0348905090890956,0.5772328727093147,0.5831010958084064,0.5987383204027755,-0.005868223099091859,-0.02150544769346079
consumed,67#33,MC_OFF,1,8253,0.31285593117654187,-0.5961438186719212,0.021584818208700892,0.5083644435303445,0.5236768674524084,0.5356247678339664,-0.015312423922063775,-0.02726032430362184
consumed,67#33,MC_OFF,2,6356,0.21758967904342355,-0.13675939854771693,0.08482260700047936,0.40882888711435683,0.41210155081475874,0.4172451911470182,-0.0032726637004019295,-0.008416304032661361
consumed,67#33,MC_OFF,3,6034,0.17931720251905867,0.21892526160105383,0.17783778125465935,0.3689950846949661,0.37054494456467596,0.36201350069382976,-0.001549859869709811,0.00698158400113646
consumed,67#33,MC_OFF,4,6027,0.17421602787456447,0.8787043373965062,0.3662409684752771,0.3584041007827066,0.36336148025390114,0.3672113488970205,-0.004957379471194531,-0.008807248114313904
consumed,67#33,MC_OFF,5,6930,0.13391053391053392,2.7327998142264613,1.2679343162136951,0.26538711591144604,0.2737509945983357,0.3019431447448634,-0.008363878686889656,-0.03655602883341736
consumed,67#34,PC_ON,1,9408,0.10788690476190477,-0.5659912390903514,0.013341571916317092,0.26987073685360735,0.2596576865385901,0.2323536131787946,0.010213050315017262,0.03751712367481269
consumed,67#34,PC_ON,2,6083,0.17343416077593293,-0.06511931588876918,0.05271769683541367,0.3774082046739643,0.3707766582130993,0.34797792854212845,0.006631546460865045,0.02943027613183582
consumed,67#34,PC_ON,3,6020,0.2,0.34245063063065095,0.11144158577362669,0.4061841487711678,0.4043357116358171,0.39605508066400946,0.001848437135350769,0.010129068107158402
consumed,67#34,PC_ON,4,5964,0.23843058350100604,0.9965760706737529,0.24527033350119956,0.4506293794676875,0.44808683220014883,0.4336575705222465,0.002542547267538747,0.01697180894544098
consumed,67#34,PC_ON,5,6125,0.31265306122448977,2.7037491564806633,0.916640954687231,0.506324975223016,0.5165778270357869,0.4890185254293949,-0.010252851812770959,0.01730644979362109
consumed,68#3,MC_OFF,1,9247,0.3956959013734184,-0.5421171237699034,0.030668014233429828,0.5881002369661832,0.6035968952809786,0.6075557553150708,-0.015496658314795433,-0.019455518348887667
consumed,68#3,MC_OFF,2,6006,0.3203463203463203,-0.10637680958649406,0.10727580565280492,0.5209440917938049,0.529220814308215,0.5146020420894516,-0.008276722514410117,0.0063420497043533836
consumed,68#3,MC_OFF,3,6111,0.29455081001472755,0.24501005804091372,0.21446279074654206,0.46906765972237563,0.48153016146634103,0.4750812652794066,-0.0124625017439654,-0.006013605557031003
consumed,68#3,MC_OFF,4,5397,0.2579210672595887,0.8772628048662953,0.4100565481006795,0.4202438095437519,0.43543272922636894,0.4278612592394864,-0.015188919682617055,-0.007617449695734517
