split,cell_id,comparator,mean_stratum,low_bins,high_bins,overlap_count,weight,eligible,excess_nll,low_local_mean,high_local_mean
development,70#7,LN,1,343,0,0,0.0,False,,-0.7140728494747965,
development,70#7,LN,2,196,21,21,0.2,True,0.08551012276173385,-0.4803662002086639,-0.38624150409466695
development,70#7,LN,3,70,21,21,0.2,True,0.09136093577548868,-0.11056669299335528,-0.07314856309029788
development,70#7,LN,4,63,217,63,0.6,True,-0.012541291761210356,0.5417435003651513,0.6266255393594263
development,70#7,LN,5,0,413,0,0.0,False,,,3.4002312069053704
development,70#7,CNN,1,343,0,0,0.0,False,,-0.7140728494747965,
development,70#7,CNN,2,196,21,21,0.2,True,0.21665454058215788,-0.4803662002086639,-0.38624150409466695
development,70#7,CNN,3,70,21,21,0.2,True,-0.1765790833889887,-0.11056669299335528,-0.07314856309029788
development,70#7,CNN,4,63,217,63,0.6,True,-0.11593897850214452,0.5417435003651513,0.6266255393594263
development,70#7,CNN,5,0,413,0,0.0,False,,,3.4002312069053704
development,70#15,LN,1,258,0,0,0.0,False,,-0.7095742294954699,
development,70#15,LN,2,114,30,30,0.16129032258064516,True,0.021139996436790584,-0.3931166814934266,-0.332755883038044
development,70#15,LN,3,72,24,24,0.12903225806451613,True,-0.0445627031737512,-0.014373362088614764,0.1244786405004561
development,70#15,LN,4,132,162,132,0.7096774193548387,True,0.0138335517130051,0.5736753153191372,0.7207347517466621
development,70#15,LN,5,0,360,0,0.0,False,,,3.5531325813460475
development,70#15,CNN,1,258,0,0,0.0,False,,-0.7095742294954699,
development,70#15,CNN,2,114,30,30,0.16129032258064516,True,0.013145910917865725,-0.3931166814934266,-0.332755883038044
development,70#15,CNN,3,72,24,24,0.12903225806451613,True,-0.02266598740605872,-0.014373362088614764,0.1244786405004561
development,70#15,CNN,4,132,162,132,0.7096774193548387,True,0.03219413539362788,0.5736753153191372,0.7207347517466621
development,70#15,CNN,5,0,360,0,0.0,False,,,3.5531325813460475
development,70#34,LN,1,336,0,0,0.0,False,,-0.6982860394725294,
development,70#34,LN,2,210,0,0,0.0,False,,-0.4859927769863245,
development,70#34,LN,3,49,56,49,0.3888888888888889,True,0.05330888757565192,-0.13282920928466338,0.009662958782758897
development,70#34,LN,4,77,140,77,0.6111111111111112,True,0.010256558213575696,0.5970235769906319,0.6651518962039104
development,70#34,LN,5,0,476,0,0.0,False,,,3.2002486502322154
development,70#34,CNN,1,336,0,0,0.0,False,,-0.6982860394725294,
development,70#34,CNN,2,210,0,0,0.0,False,,-0.4859927769863245,
development,70#34,CNN,3,49,56,49,0.3888888888888889,True,0.17737288329869547,-0.13282920928466338,0.009662958782758897
development,70#34,CNN,4,77,140,77,0.6111111111111112,True,0.021152545424090393,0.5970235769906319,0.6651518962039104
development,70#34,CNN,5,0,476,0,0.0,False,,,3.2002486502322154
consumed,67#4,LN,1,914,0,0,0.0,False,,-0.7501938123117391,
consumed,67#4,LN,2,104,9,9,0.06338028169014084,True,-0.05750211707701474,-0.4475864101774417,-0.3567976334468565
consumed,67#4,LN,3,108,92,92,0.647887323943662,True,0.028885315764453516,-0.07340099210274208,0.0014093927684766443
consumed,67#4,LN,4,31,208,31,0.21830985915492956,True,-0.010956548658087983,0.6025017050485457,0.6810495624015053
consumed,67#4,LN,5,10,538,10,0.07042253521126761,True,0.09090250053707503,2.393176195025444,3.7675949245220446
consumed,67#4,CNN,1,914,0,0,0.0,False,,-0.7501938123117391,
consumed,67#4,CNN,2,104,9,9,0.06338028169014084,True,0.12228716692214302,-0.4475864101774417,-0.3567976334468565
consumed,67#4,CNN,3,108,92,92,0.647887323943662,True,0.03212416625668675,-0.07340099210274208,0.0014093927684766443
consumed,67#4,CNN,4,31,208,31,0.21830985915492956,True,0.09698669528803866,0.6025017050485457,0.6810495624015053
consumed,67#4,CNN,5,10,538,10,0.07042253521126761,True,-0.02162646597237519,2.393176195025444,3.7675949245220446
consumed,67#6,LN,1,6762,28,28,0.023668639053254437,True,0.007809636936598464,-0.7255892835912252,-0.5271921619772911
consumed,67#6,LN,2,1624,168,168,0.14201183431952663,True,0.015039645161156514,-0.33244307726172023,-0.26991388682896894
consumed,67#6,LN,3,630,553,553,0.46745562130177515,True,-0.013593756171807261,0.012553097166916515,0.06818429783428356
consumed,67#6,LN,4,336,1155,336,0.28402366863905326,True,0.01597278032211002,0.5219116267127296,0.6063880296497409
consumed,67#6,LN,5,98,5180,98,0.08284023668639054,True,-0.006064724289390465,1.5612742211137502,3.6726569199740235
consumed,67#6,CNN,1,6762,28,28,0.023668639053254437,True,-0.026271993052778116,-0.7255892835912252,-0.5271921619772911
consumed,67#6,CNN,2,1624,168,168,0.14201183431952663,True,0.007547756617843307,-0.33244307726172023,-0.26991388682896894
consumed,67#6,CNN,3,630,553,553,0.46745562130177515,True,-0.0542961605304059,0.012553097166916515,0.06818429783428356
consumed,67#6,CNN,4,336,1155,336,0.28402366863905326,True,0.011118513281223659,0.5219116267127296,0.6063880296497409
consumed,67#6,CNN,5,98,5180,98,0.08284023668639054,True,-0.05981112140302386,1.5612742211137502,3.6726569199740235
consumed,67#7,LN,1,6097,0,0,0.0,False,,-0.7448920716288854,
consumed,67#7,LN,2,840,63,63,0.08490566037735849,True,0.059190683900218866,-0.4371824676584866,-0.3937770866711313
