group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
all,R4_normal,logit,Mach,Mach_uniform_x-06,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-05,response_minus_blank,4,0.187380013987422,0.28356608748435974,0.28356608748435974,64.99999237060547,0.0218107670545578,0.11751538515090942,0.11286448314785957,4,0,0
all,R4_normal,logit,Mach,Mach_uniform_x-05,response_minus_blank,22,0.01571952983398329,0.10148572379892523,0.2125951972874728,72.72726301713423,0.004694736365116004,0.0012107670984484932,0.04401819882067767,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-05,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x-05,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-04,response_minus_blank,4,0.187380013987422,0.28356608748435974,0.28356608748435974,64.99999237060547,0.0218107670545578,0.11751538515090942,0.11286448314785957,4,0,0
all,R4_normal,logit,Mach,Mach_uniform_x-04,response_minus_blank,22,0.01571952983398329,0.10148572379892523,0.2125951972874728,72.72726301713423,0.004694736365116004,0.0012107670984484932,0.04401819882067767,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-04,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x-04,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-03,response_minus_blank,4,0.14060049317777157,0.21278467774391174,0.21278467774391174,64.99999237060547,0.0163676259915034,0.08815683238208294,0.08471563830971718,4,0,0
all,R4_normal,logit,Mach,Mach_uniform_x-03,response_minus_blank,22,0.011800475630231878,0.07614732601425865,0.1594960554079576,72.72726301713423,0.003523131247722742,0.0009106912396170876,0.033030036159537056,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-03,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x-03,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-02,response_minus_blank,4,0.09377737063914537,0.14192992448806763,0.14192992448806763,64.99999237060547,0.010918125410874686,0.05878475680947304,0.05652202107012272,4,0,0
all,R4_normal,logit,Mach,Mach_uniform_x-02,response_minus_blank,22,0.007874217709865083,0.05078693140636791,0.10636383024129001,72.72726301713423,0.0023501413699352383,0.0006088783795183355,0.02203096178444949,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-02,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x-02,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-01,response_minus_blank,4,0.046910569537431,0.07100176811218262,0.07100176811218262,64.99999237060547,0.005462255577246349,0.02939915843307972,0.028283514082431793,4,0,0
all,R4_normal,logit,Mach,Mach_uniform_x-01,response_minus_blank,22,0.0039407276675443755,0.025404502045024525,0.053198483857241546,72.72726301713423,0.0011757653590404626,0.0003053122623400255,0.011020956052975222,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-01,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x-01,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+00,response_minus_blank,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x+00,response_minus_blank,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+00,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x+00,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x+01,response_minus_blank,4,-0.04691056860610843,-0.07100176811218262,0.07100176811218262,64.99999237060547,-0.005462255577246349,-0.02939915657043457,-0.028283515945076942,0,4,0
