cell_id,group,mode,channel,family,name,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,model,control,x_pixels
67#4,PC_OFF,R4_normal,logit,White,White_remote_contour_rearrangement_White_on_dark_bar,response_minus_blank,0.01085260696709156,0.030553042888641357,0.030553042888641357,113.33331298828125,0.0033144334952036544,0.0029821693897247314,0.028254434466362,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_remote_contour_rearrangement_White_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_remote_contour_rearrangement_White_control_on_bright_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_remote_contour_rearrangement_White_control_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_remote_contour_rearrangement_White_control_on_dark_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_remote_contour_rearrangement_White_control_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_intersection,response_minus_blank,-0.1869487166404724,-0.26947975158691406,0.26947975158691406,100.0,-0.02501547972361247,-0.11707000434398651,-0.14265760779380798,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_intersection,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_corridor,response_minus_blank,-0.20852439105510712,-0.3261525630950928,0.3261525630950928,100.0,-0.03161122639973959,-0.12300550937652588,-0.19884951412677765,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_corridor,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_control_intersection,response_minus_blank,-0.20852431654930115,-0.32615232467651367,0.32615232467651367,100.0,-0.03161116282145182,-0.12300550937652588,-0.19884909689426422,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_control_intersection,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_control_corridor,response_minus_blank,-0.20852431654930115,-0.32615232467651367,0.32615232467651367,100.0,-0.03161116282145182,-0.12300550937652588,-0.19884909689426422,R4,,
67#4,PC_OFF,R4_normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_control_corridor,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,diagnostic,diagnostic_blank,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
