cell_id,group,mode,channel,profile,region,overshoot_above_plateaus,undershoot_below_plateaus,max_minus_upper_plateau,min_minus_lower_plateau,max_x_pixels,min_x_pixels
67#14,PC_ON,R4_normal,probability,ramp,bright_boundary,0.0005664825439453125,0.0,0.0005664825439453125,0.03021778166294098,5,2
67#14,PC_ON,R4_normal,probability,matched_uniform,dark_boundary,0.0,0.0,-0.032583147287368774,0.0,-2,-6
67#14,PC_ON,R4_normal,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.030115872621536255,4,2
67#14,PC_ON,R4_H1_off,logit,ramp,dark_boundary,0.0,-0.002084970474243164,-0.2775777578353882,-0.002084970474243164,-2,-5
67#14,PC_ON,R4_H1_off,logit,ramp,bright_boundary,0.002084970474243164,0.0,0.002084970474243164,0.27757787704467773,5,2
67#14,PC_ON,R4_H1_off,logit,matched_uniform,dark_boundary,0.0,0.0,-0.2775777578353882,0.0,-2,-6
67#14,PC_ON,R4_H1_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.27757787704467773,4,2
67#14,PC_ON,R4_H1_off,probability,ramp,dark_boundary,0.0,-0.00022077560424804688,-0.03640097379684448,-0.00022077560424804688,-2,-5
67#14,PC_ON,R4_H1_off,probability,ramp,bright_boundary,0.0003059506416320801,0.0,0.0003059506416320801,0.03338855504989624,5,2
67#14,PC_ON,R4_H1_off,probability,matched_uniform,dark_boundary,0.0,0.0,-0.03640097379684448,0.0,-2,-6
67#14,PC_ON,R4_H1_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.03338855504989624,4,2
67#14,PC_ON,R4_AC_off,logit,ramp,dark_boundary,0.0,-0.0024219751358032227,-0.36381304264068604,-0.0024219751358032227,-2,-5
67#14,PC_ON,R4_AC_off,logit,ramp,bright_boundary,0.002421855926513672,0.0,0.002421855926513672,0.36381304264068604,5,2
67#14,PC_ON,R4_AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,-0.3627798557281494,0.0,-2,-6
67#14,PC_ON,R4_AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.3627798557281494,4,2
67#14,PC_ON,R4_AC_off,probability,ramp,dark_boundary,0.0,-0.00023467093706130981,-0.04835161566734314,-0.00023467093706130981,-2,-5
67#14,PC_ON,R4_AC_off,probability,ramp,bright_boundary,0.00038182735443115234,0.0,0.00038182735443115234,0.04323956370353699,5,2
67#14,PC_ON,R4_AC_off,probability,matched_uniform,dark_boundary,0.0,0.0,-0.048237308859825134,0.0,-2,-6
67#14,PC_ON,R4_AC_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.04309362173080444,4,2
67#14,PC_ON,LN,logit,ramp,dark_boundary,0.0,-0.0014224052429199219,-0.16202819347381592,-0.0014224052429199219,-2,-6
67#14,PC_ON,LN,logit,ramp,bright_boundary,0.002161383628845215,0.0,0.002161383628845215,0.23259377479553223,5,2
67#14,PC_ON,LN,logit,matched_uniform,dark_boundary,0.0,0.0,-0.19615495204925537,0.0,-2,-6
67#14,PC_ON,LN,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.19615519046783447,4,2
67#14,PC_ON,LN,probability,ramp,dark_boundary,0.0,-0.00015470385551452637,-0.01762237399816513,-0.00015470385551452637,-2,-6
67#14,PC_ON,LN,probability,ramp,bright_boundary,0.0002394169569015503,0.0,0.0002394169569015503,0.023409418761730194,5,2
67#14,PC_ON,LN,probability,matched_uniform,dark_boundary,0.0,0.0,-0.020911283791065216,0.0,-2,-6
67#14,PC_ON,LN,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.019315674901008606,4,2
67#21,PC_ON,R4_normal,logit,ramp,dark_boundary,0.0,-0.0038259029388427734,-0.13680386543273926,-0.0038259029388427734,-2,-4
67#21,PC_ON,R4_normal,logit,ramp,bright_boundary,0.003825664520263672,0.0,0.003825664520263672,0.13680362701416016,4,2
67#21,PC_ON,R4_normal,logit,matched_uniform,dark_boundary,0.0,0.0,-0.1365375518798828,0.0,-2,-6
67#21,PC_ON,R4_normal,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.1365373134613037,4,2
67#21,PC_ON,R4_normal,probability,ramp,dark_boundary,0.0,-0.0002888888120651245,-0.011679254472255707,-0.0002888888120651245,-2,-4
67#21,PC_ON,R4_normal,probability,ramp,bright_boundary,0.00034965574741363525,0.0,0.00034965574741363525,0.011100612580776215,4,2
