cell_id,recording_id,repeat,duration_s,live_spike_count,first_spike_ms,last_spike_ms,video_start_ticks_internal_control,duplicate_identical_payload_removed,raw_array_key,source
69#7,lSS01258,3,60,3176,8.3,59938.700000000004,25929,False,69_7_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01258.txt
69#7,lSS01258,4,60,3082,113.0,59939.4,25929,False,69_7_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01258.txt
69#7,lSS01258,5,60,3143,109.9,59955.4,25929,False,69_7_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01258.txt
69#7,lSS01258,6,60,3184,110.60000000000001,59990.100000000006,25929,False,69_7_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01258.txt
69#21,lSS01270,1,60,3034,21.8,59981.5,58587,False,69_21_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01270.txt
69#21,lSS01270,2,60,2543,2.2,59987.600000000006,58587,False,69_21_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01270.txt
69#21,lSS01270,3,60,2599,21.0,59954.100000000006,58587,False,69_21_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01270.txt
69#21,lSS01270,4,60,2615,4.4,59992.0,58587,False,69_21_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01270.txt
69#21,lSS01270,5,60,2359,17.5,59943.200000000004,58587,False,69_21_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01270.txt
69#21,lSS01270,6,60,2471,21.400000000000002,59971.200000000004,58587,False,69_21_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01270.txt
70#1,lSS01278,1,60,2075,18.900000000000002,59976.700000000004,79187,False,70_1_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01278.txt
70#1,lSS01278,2,60,1871,24.5,59954.700000000004,79187,False,70_1_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01278.txt
70#1,lSS01278,3,60,2047,3.4000000000000004,59964.100000000006,79187,False,70_1_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01278.txt
70#1,lSS01278,4,60,1916,43.6,59912.4,79187,False,70_1_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01278.txt
70#1,lSS01278,5,60,1898,12.4,59983.0,79187,False,70_1_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01278.txt
70#1,lSS01278,6,60,2047,11.200000000000001,59899.8,79187,False,70_1_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01278.txt
70#7,lSS01284,1,60,2052,30.0,59946.700000000004,50061,False,70_7_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01284.txt
70#7,lSS01284,2,60,2116,25.0,59998.200000000004,50061,False,70_7_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01284.txt
70#7,lSS01284,3,60,2150,4.800000000000001,59999.100000000006,50061,False,70_7_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01284.txt
70#7,lSS01284,4,60,2280,29.400000000000002,59953.200000000004,50061,False,70_7_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01284.txt
70#7,lSS01284,5,60,2272,2.5,59999.600000000006,50061,False,70_7_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01284.txt
70#7,lSS01284,6,60,2389,31.3,59960.9,50061,False,70_7_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01284.txt
70#15,lSS01287,1,60,1475,40.300000000000004,59945.0,32832,False,70_15_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01287.txt
70#15,lSS01287,2,60,1516,3.4000000000000004,59764.3,32832,False,70_15_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01287.txt
70#15,lSS01287,3,60,1542,34.9,59851.8,32832,False,70_15_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01287.txt
70#15,lSS01287,4,60,1620,71.10000000000001,59915.0,32832,False,70_15_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01287.txt
70#15,lSS01287,5,60,1543,66.7,59843.100000000006,32832,False,70_15_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01287.txt
70#15,lSS01287,6,60,1376,5.6000000000000005,59572.8,32832,False,70_15_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01287.txt
70#34,lSS01299,1,60,2417,40.6,59912.600000000006,46232,False,70_34_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01299.txt
70#34,lSS01299,2,60,2368,29.1,59998.0,46232,False,70_34_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01299.txt
70#34,lSS01299,3,60,2382,26.200000000000003,59913.0,46232,False,70_34_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01299.txt
70#34,lSS01299,4,60,2350,39.300000000000004,59910.9,46232,False,70_34_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01299.txt
70#34,lSS01299,5,60,2304,22.8,59910.600000000006,46232,False,70_34_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01299.txt
70#34,lSS01299,6,60,2340,4.4,59999.600000000006,46232,False,70_34_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01299.txt
