cell_id,group,mode,channel,family,name,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,control,x_pixels
67#4,PC_OFF,normal,logit,Hermann,Hermann_control_corridor,response_minus_blank,-0.21933940052986145,-0.3595924377441406,0.3595924377441406,100.0,-0.032803672154744466,-0.1270262897014618,-0.21710216999053955,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_control_corridor,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_on_bright_bar,response_minus_blank,-0.01846250705420971,-0.04571723937988281,0.04571723937988281,113.33331298828125,-0.004882957935333252,-0.005824282765388489,-0.040922701358795166,,
67#4,PC_OFF,normal,logit,White,White_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_on_dark_bar,response_minus_blank,0.01846250705420971,0.04571729898452759,0.04571729898452759,113.33331298828125,0.004882958730061849,0.005824282765388489,0.040922701358795166,,
67#4,PC_OFF,normal,logit,White,White_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_control_on_bright_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_control_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_control_on_dark_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_control_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,neutral,neutral_blank,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,neutral,neutral_blank,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_on_bright_bar,response_minus_blank,-0.018465669825673103,-0.04572498798370361,0.04572498798370361,113.33331298828125,-0.004883774916330973,-0.005825340747833252,-0.04092957079410553,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_on_dark_bar,response_minus_blank,0.018465662375092506,0.04572504758834839,0.04572504758834839,113.33331298828125,0.004883774121602377,0.005825325846672058,0.04092959314584732,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_control_on_bright_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_control_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_control_on_dark_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_control_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_intersection,response_minus_blank,-0.1827906221151352,-0.27323901653289795,0.27323901653289795,100.0,-0.02311947504679362,-0.11549244821071625,-0.1360136717557907,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_intersection,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_corridor,response_minus_blank,-0.21934178471565247,-0.3595985174179077,0.3595985174179077,100.0,-0.03280445098876953,-0.12702696025371552,-0.21710848808288574,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_corridor,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_control_intersection,response_minus_blank,-0.2193411886692047,-0.3595963716506958,0.3595963716506958,100.0,-0.032804094950358076,-0.12702688574790955,-0.21710574626922607,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_control_intersection,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_control_corridor,response_minus_blank,-0.2193411886692047,-0.3595963716506958,0.3595963716506958,100.0,-0.032804094950358076,-0.12702688574790955,-0.21710574626922607,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_contour_rearrangement_Hermann_control_corridor,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,diagnostic,diagnostic_blank,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,diagnostic,diagnostic_blank,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
